tema,lote_id,maquina,turno,temperatura_antes,temperatura_depois,defeitos,espessura_mm,tempo_ciclo_s,vibracao
manufatura,1,M2,noite,90.63,85.15,3,2.018,43.55,3.69
manufatura,2,M1,dia,87.4,85.51,1,1.933,37.12,2.77
manufatura,3,M2,dia,89.06,88.28,6,1.809,40.11,4.09
manufatura,4,M2,dia,89.59,87.93,1,1.707,47.8,4.04
manufatura,5,M2,noite,82.84,80.42,6,1.932,42.46,3.44
manufatura,6,M2,dia,83.37,80.35,4,1.882,49.16,4.05
manufatura,7,M1,noite,84.9,83.1,3,1.768,49.84,3.7
manufatura,8,M1,dia,86.56,84.43,4,1.797,43.95,3.22
manufatura,9,M2,dia,85.56,84.12,3,1.742,43.0,3.25
manufatura,10,M1,noite,78.15,76.38,3,1.831,50.29,2.61
manufatura,11,M1,dia,87.99,86.28,5,1.84,40.01,3.29
manufatura,12,M1,dia,91.11,87.92,6,1.748,48.29,3.52
manufatura,13,M2,dia,86.31,85.46,5,1.851,47.59,3.76
manufatura,14,M1,dia,83.04,80.0,3,1.77,45.79,3.09
manufatura,15,M1,noite,78.53,75.83,9,1.971,34.18,3.28
manufatura,16,M1,dia,80.96,79.57,2,1.93,30.55,2.58
manufatura,17,M1,noite,81.88,77.6,1,1.814,40.59,3.47
manufatura,18,M2,noite,88.37,85.14,3,1.842,48.66,3.92
manufatura,19,M2,noite,89.65,86.91,7,1.805,43.27,4.46
manufatura,20,M1,dia,83.82,84.15,4,1.826,48.46,3.54
manufatura,21,M1,noite,94.99,91.49,2,1.905,47.54,2.59
manufatura,22,M2,dia,87.85,84.08,7,1.768,43.25,4.2
manufatura,23,M2,dia,92.6,92.15,5,1.74,45.35,4.3
manufatura,24,M1,noite,79.68,75.68,4,1.764,42.69,2.88
manufatura,25,M1,dia,79.74,78.69,7,1.861,52.85,3.63
manufatura,26,M2,dia,85.05,84.23,7,1.67,47.31,3.55
manufatura,27,M2,noite,84.8,81.85,3,1.634,42.13,3.96
manufatura,28,M1,dia,76.9,74.01,6,1.839,44.17,2.83
manufatura,29,M1,noite,80.96,78.55,3,1.912,31.95,3.78
manufatura,30,M1,dia,85.58,85.53,6,1.863,37.03,4.11
manufatura,31,M2,noite,92.43,88.7,6,1.741,54.89,3.42
manufatura,32,M1,dia,86.5,84.82,1,1.903,40.06,3.57
manufatura,33,M1,dia,82.36,80.75,4,1.847,42.55,3.82
manufatura,34,M2,dia,86.02,83.69,4,1.812,42.73,4.03
manufatura,35,M2,dia,86.45,86.57,5,1.848,32.16,4.1
manufatura,36,M1,dia,86.97,85.65,3,1.784,43.7,3.36
manufatura,37,M2,dia,89.53,88.58,9,1.892,38.86,4.71
manufatura,38,M2,noite,88.16,83.73,3,1.638,46.51,4.58
manufatura,39,M2,noite,88.49,85.13,5,1.669,46.58,3.78
manufatura,40,M1,noite,88.4,85.54,3,1.832,42.41,4.18
manufatura,41,M1,dia,85.22,83.31,3,1.905,31.38,3.99
manufatura,42,M2,dia,84.36,83.91,4,1.793,44.81,4.34
manufatura,43,M2,dia,89.73,89.02,5,1.742,42.67,4.16
manufatura,44,M2,noite,86.67,82.55,5,1.867,38.09,3.97
manufatura,45,M2,dia,88.88,87.02,4,1.766,38.42,4.23
manufatura,46,M2,noite,83.29,80.07,3,1.725,40.96,3.56
manufatura,47,M2,dia,95.03,94.34,10,1.717,39.06,4.51
manufatura,48,M1,dia,78.26,77.84,3,1.732,48.17,3.15
manufatura,49,M1,dia,88.76,85.82,5,1.774,41.73,3.11
manufatura,50,M1,noite,81.81,77.75,3,1.907,41.77,3.82
manufatura,51,M1,dia,82.39,81.64,8,1.907,35.1,3.88
manufatura,52,M1,dia,85.91,84.72,6,1.837,41.34,2.59
manufatura,53,M1,noite,89.56,86.74,0,1.775,37.44,2.88
manufatura,54,M1,noite,84.37,80.77,6,1.884,43.22,2.77
