tema,lote_id,maquina,turno,temperatura_antes,temperatura_depois,defeitos,espessura_mm,tempo_ciclo_s,vibracao
manufatura,1,M1,dia,83.13,81.53,8,1.835,46.53,2.34
manufatura,2,M1,dia,79.5,77.41,3,1.667,39.72,3.49
manufatura,3,M2,noite,84.39,80.8,5,1.732,46.87,4.08
manufatura,4,M1,dia,89.99,89.97,2,1.97,36.5,3.34
manufatura,5,M1,dia,82.55,81.35,7,1.759,37.08,3.3
manufatura,6,M2,noite,84.47,80.48,6,1.831,42.07,3.82
manufatura,7,M2,noite,85.91,83.01,3,1.733,37.01,3.65
manufatura,8,M1,noite,92.11,90.47,3,1.793,41.28,4.11
manufatura,9,M2,noite,85.35,81.54,7,1.859,48.45,4.7
manufatura,10,M1,noite,79.23,77.47,4,1.971,41.25,3.68
manufatura,11,M2,noite,94.22,91.01,7,1.75,41.78,3.71
manufatura,12,M2,dia,91.88,90.76,3,1.608,38.9,4.12
manufatura,13,M2,dia,87.77,86.22,11,1.771,43.67,4.81
manufatura,14,M1,dia,88.71,85.34,3,1.833,44.76,3.08
manufatura,15,M1,noite,83.38,78.94,2,1.807,46.86,2.42
manufatura,16,M2,dia,81.53,81.45,8,1.789,48.58,4.52
manufatura,17,M1,noite,78.82,75.43,3,1.965,38.64,3.05
manufatura,18,M2,dia,87.89,84.86,7,1.725,43.85,2.67
manufatura,19,M2,dia,84.85,84.9,3,1.839,54.98,3.64
manufatura,20,M1,dia,86.51,84.74,1,1.943,37.44,2.44
manufatura,21,M1,dia,87.66,86.38,6,1.885,46.78,2.0
manufatura,22,M2,dia,85.01,83.28,4,1.99,44.91,4.7
manufatura,23,M1,dia,80.9,81.8,3,1.818,38.61,3.33
manufatura,24,M1,dia,83.55,82.92,1,1.706,40.39,3.72
manufatura,25,M1,noite,89.48,86.99,2,1.993,50.76,3.59
manufatura,26,M1,noite,83.53,78.89,7,1.998,44.39,3.04
manufatura,27,M1,dia,82.38,82.65,6,1.781,41.06,3.05
manufatura,28,M1,dia,80.52,77.69,3,1.837,41.75,4.45
manufatura,29,M1,dia,86.39,82.42,4,1.743,44.21,2.71
manufatura,30,M2,dia,87.42,84.88,10,1.799,36.26,2.89
manufatura,31,M1,dia,85.58,84.33,1,1.867,34.86,3.67
manufatura,32,M1,dia,80.69,79.31,7,1.683,33.69,3.46
manufatura,33,M2,dia,87.68,85.94,4,1.908,40.34,4.17
manufatura,34,M2,noite,82.43,80.26,7,1.772,44.15,3.08
manufatura,35,M2,noite,84.29,80.54,7,1.748,53.55,4.61
manufatura,36,M2,noite,87.41,84.39,7,1.838,45.13,3.45
manufatura,37,M1,dia,82.74,83.49,2,1.769,36.56,2.85
manufatura,38,M2,noite,87.29,81.96,3,1.722,47.64,4.48
manufatura,39,M1,noite,90.46,87.66,1,1.82,50.41,3.61
manufatura,40,M1,dia,82.28,79.29,3,1.81,35.22,3.89
manufatura,41,M2,noite,90.79,87.35,6,1.783,43.08,3.85
manufatura,42,M2,dia,89.57,88.28,5,1.814,39.11,4.81
manufatura,43,M2,dia,86.75,84.13,5,1.82,42.35,4.23
manufatura,44,M1,dia,86.01,84.02,3,1.895,44.76,2.34
manufatura,45,M1,dia,81.26,79.74,3,1.803,43.82,3.21
manufatura,46,M2,noite,90.27,88.86,8,1.633,45.91,4.45
manufatura,47,M1,dia,73.52,72.17,2,1.813,34.08,3.61
manufatura,48,M2,dia,87.56,85.51,8,1.662,44.06,4.64
manufatura,49,M2,dia,86.39,84.03,6,1.725,44.12,3.48
manufatura,50,M2,dia,87.33,86.83,6,1.757,40.92,4.03
manufatura,51,M2,dia,84.09,82.14,6,1.947,42.25,3.49
manufatura,52,M2,dia,86.72,85.98,4,1.879,35.66,4.26
manufatura,53,M1,noite,79.98,77.78,3,1.911,45.78,2.76
manufatura,54,M2,noite,88.46,87.52,6,1.762,33.89,4.4
