tema,rodada,time,tecnico,mandante,faltas,gols,finalizacoes,escanteios,cartoes_amarelos,posse_bola
futebol,1,Corinthians,Técnico A,Sim,17,2,12,5,4,51.0
futebol,2,Corinthians,Técnico A,Sim,16,1,14,5,4,51.61
futebol,3,Corinthians,Técnico A,Não,17,2,13,6,4,41.47
futebol,4,Corinthians,Técnico A,Não,12,1,13,4,4,49.22
futebol,5,Corinthians,Técnico A,Não,17,3,12,5,5,56.86
futebol,6,Corinthians,Técnico A,Não,15,0,9,7,4,43.61
futebol,7,Corinthians,Técnico A,Não,19,1,13,6,4,49.83
futebol,8,Corinthians,Técnico A,Não,15,3,16,5,5,56.39
futebol,9,Corinthians,Técnico A,Sim,17,0,9,5,3,54.33
futebol,10,Corinthians,Técnico A,Não,14,4,18,5,4,49.94
futebol,11,Corinthians,Técnico A,Sim,12,1,12,6,3,47.87
futebol,12,Corinthians,Técnico A,Não,17,3,15,8,4,45.78
futebol,13,Corinthians,Técnico A,Sim,15,1,10,6,3,42.95
futebol,14,Corinthians,Técnico A,Não,13,3,14,5,3,44.36
futebol,15,Corinthians,Técnico A,Sim,16,2,12,4,4,52.84
futebol,16,Corinthians,Técnico A,Não,14,0,9,6,5,45.53
futebol,17,Corinthians,Técnico B,Sim,16,1,13,4,5,51.45
futebol,18,Corinthians,Técnico B,Sim,14,2,14,6,4,56.81
futebol,19,Corinthians,Técnico B,Não,11,3,13,4,2,41.95
futebol,20,Corinthians,Técnico B,Sim,18,2,14,5,3,45.43
futebol,21,Corinthians,Técnico B,Sim,16,3,17,6,3,49.74
futebol,22,Corinthians,Técnico B,Sim,11,2,10,5,2,50.55
futebol,23,Corinthians,Técnico B,Não,16,1,14,3,3,49.9
futebol,24,Corinthians,Técnico B,Sim,14,1,14,7,3,50.22
futebol,25,Corinthians,Técnico B,Sim,11,0,12,7,2,48.94
futebol,26,Corinthians,Técnico B,Sim,16,1,10,4,4,59.1
futebol,27,Corinthians,Técnico B,Não,16,0,10,4,5,51.61
futebol,28,Corinthians,Técnico B,Não,18,3,15,4,4,51.93
futebol,29,Corinthians,Técnico B,Sim,13,1,11,5,4,54.17
futebol,30,Corinthians,Técnico B,Não,13,0,9,7,3,44.94
futebol,31,Corinthians,Técnico B,Sim,21,2,9,5,4,54.07
futebol,32,Corinthians,Técnico B,Sim,15,1,11,6,4,43.12
futebol,1,Palmeiras,Técnico Único,Sim,12,3,12,7,2,54.3
futebol,2,Palmeiras,Técnico Único,Não,15,1,12,6,2,49.04
futebol,3,Palmeiras,Técnico Único,Sim,12,1,13,6,5,58.42
futebol,4,Palmeiras,Técnico Único,Não,14,2,14,4,3,47.61
futebol,5,Palmeiras,Técnico Único,Não,13,2,17,6,2,51.27
futebol,6,Palmeiras,Técnico Único,Não,14,4,18,6,3,45.27
futebol,7,Palmeiras,Técnico Único,Não,14,1,15,6,2,53.87
futebol,8,Palmeiras,Técnico Único,Sim,19,1,15,6,3,65.7
futebol,9,Palmeiras,Técnico Único,Sim,16,2,16,6,4,52.22
futebol,10,Palmeiras,Técnico Único,Não,9,4,20,3,2,52.32
futebol,11,Palmeiras,Técnico Único,Sim,12,3,13,8,4,60.56
futebol,12,Palmeiras,Técnico Único,Não,14,2,16,5,4,58.72
futebol,13,Palmeiras,Técnico Único,Não,12,1,11,5,3,59.41
futebol,14,Palmeiras,Técnico Único,Não,13,2,20,6,3,50.27
futebol,15,Palmeiras,Técnico Único,Não,17,2,12,7,2,58.79
futebol,16,Palmeiras,Técnico Único,Não,13,4,18,4,2,52.49
futebol,17,Palmeiras,Técnico Único,Sim,15,2,12,7,3,59.37
futebol,18,Palmeiras,Técnico Único,Não,14,0,15,5,2,47.27
futebol,19,Palmeiras,Técnico Único,Não,13,1,16,3,3,50.54
futebol,20,Palmeiras,Técnico Único,Não,15,1,14,7,3,57.44
futebol,21,Palmeiras,Técnico Único,Sim,13,2,13,5,2,50.15
futebol,22,Palmeiras,Técnico Único,Sim,12,2,12,7,1,58.96
futebol,23,Palmeiras,Técnico Único,Não,10,2,18,5,3,51.66
futebol,24,Palmeiras,Técnico Único,Não,15,0,17,6,2,46.46
futebol,25,Palmeiras,Técnico Único,Sim,12,1,9,6,3,61.23
futebol,26,Palmeiras,Técnico Único,Não,11,1,14,6,3,51.88
futebol,27,Palmeiras,Técnico Único,Sim,16,2,18,7,3,56.77
futebol,28,Palmeiras,Técnico Único,Não,14,0,13,6,2,49.19
futebol,29,Palmeiras,Técnico Único,Sim,13,3,16,5,3,55.52
futebol,30,Palmeiras,Técnico Único,Não,13,2,14,5,1,49.95
futebol,31,Palmeiras,Técnico Único,Não,15,2,15,6,2,42.22
futebol,32,Palmeiras,Técnico Único,Sim,16,2,15,5,3,53.5
