tema,rodada,time,tecnico,mandante,faltas,gols,finalizacoes,escanteios,cartoes_amarelos,posse_bola
futebol,1,Corinthians,Técnico A,Não,17,1,12,3,4,45.39
futebol,2,Corinthians,Técnico A,Não,14,1,14,3,4,49.73
futebol,3,Corinthians,Técnico A,Não,13,1,11,7,2,40.13
futebol,4,Corinthians,Técnico A,Sim,13,0,14,3,3,54.47
futebol,5,Corinthians,Técnico A,Sim,14,3,15,6,5,40.79
futebol,6,Corinthians,Técnico A,Não,14,5,13,7,5,46.52
futebol,7,Corinthians,Técnico A,Sim,15,1,8,6,5,54.52
futebol,8,Corinthians,Técnico A,Não,15,1,14,5,2,41.41
futebol,9,Corinthians,Técnico A,Não,17,1,13,5,4,45.51
futebol,10,Corinthians,Técnico A,Sim,18,1,9,6,4,55.16
futebol,11,Corinthians,Técnico A,Sim,14,1,13,7,3,54.6
futebol,12,Corinthians,Técnico A,Não,17,1,11,4,3,53.06
futebol,13,Corinthians,Técnico A,Sim,13,3,17,5,4,48.72
futebol,14,Corinthians,Técnico A,Sim,17,2,16,5,3,55.1
futebol,15,Corinthians,Técnico A,Não,20,0,8,4,4,56.55
futebol,16,Corinthians,Técnico A,Não,15,3,17,7,5,42.88
futebol,17,Corinthians,Técnico B,Sim,14,1,11,4,4,47.65
futebol,18,Corinthians,Técnico B,Não,17,1,15,4,3,42.72
futebol,19,Corinthians,Técnico B,Não,20,2,12,4,4,41.94
futebol,20,Corinthians,Técnico B,Não,17,2,13,5,1,53.48
futebol,21,Corinthians,Técnico B,Sim,13,3,12,6,3,56.43
futebol,22,Corinthians,Técnico B,Sim,17,4,18,4,4,60.31
futebol,23,Corinthians,Técnico B,Sim,14,2,12,6,3,48.54
futebol,24,Corinthians,Técnico B,Sim,15,1,13,3,4,51.26
futebol,25,Corinthians,Técnico B,Sim,13,4,14,7,3,59.45
futebol,26,Corinthians,Técnico B,Não,16,4,17,6,4,47.09
futebol,27,Corinthians,Técnico B,Não,13,1,10,7,4,50.36
futebol,28,Corinthians,Técnico B,Não,17,2,13,5,4,49.21
futebol,29,Corinthians,Técnico B,Sim,12,2,14,7,3,53.61
futebol,30,Corinthians,Técnico B,Sim,16,5,18,6,4,42.1
futebol,31,Corinthians,Técnico B,Não,15,1,11,6,3,48.88
futebol,32,Corinthians,Técnico B,Não,16,2,11,4,4,48.49
futebol,1,Palmeiras,Técnico Único,Sim,12,3,18,6,3,51.56
futebol,2,Palmeiras,Técnico Único,Não,16,5,19,5,2,53.7
futebol,3,Palmeiras,Técnico Único,Sim,16,2,17,5,3,59.15
futebol,4,Palmeiras,Técnico Único,Sim,15,2,20,7,4,56.59
futebol,5,Palmeiras,Técnico Único,Não,13,1,17,3,3,50.09
futebol,6,Palmeiras,Técnico Único,Não,16,3,12,7,3,47.13
futebol,7,Palmeiras,Técnico Único,Sim,13,1,12,6,2,53.14
futebol,8,Palmeiras,Técnico Único,Não,14,4,13,4,3,49.41
futebol,9,Palmeiras,Técnico Único,Sim,15,1,14,5,3,55.05
futebol,10,Palmeiras,Técnico Único,Não,16,0,12,7,4,48.54
futebol,11,Palmeiras,Técnico Único,Não,11,3,18,6,3,54.04
futebol,12,Palmeiras,Técnico Único,Não,15,4,18,8,4,46.3
futebol,13,Palmeiras,Técnico Único,Não,14,0,15,6,3,62.23
futebol,14,Palmeiras,Técnico Único,Sim,15,4,14,7,2,59.18
futebol,15,Palmeiras,Técnico Único,Não,11,1,15,6,3,52.69
futebol,16,Palmeiras,Técnico Único,Não,14,4,16,6,2,55.71
futebol,17,Palmeiras,Técnico Único,Não,16,0,11,4,3,56.04
futebol,18,Palmeiras,Técnico Único,Sim,11,1,16,3,4,60.36
futebol,19,Palmeiras,Técnico Único,Sim,17,0,13,4,3,51.2
futebol,20,Palmeiras,Técnico Único,Não,15,3,17,7,3,52.84
futebol,21,Palmeiras,Técnico Único,Sim,16,2,13,6,3,61.78
futebol,22,Palmeiras,Técnico Único,Não,15,1,13,5,3,57.8
futebol,23,Palmeiras,Técnico Único,Não,13,2,14,6,2,51.39
futebol,24,Palmeiras,Técnico Único,Não,14,2,15,6,3,50.92
futebol,25,Palmeiras,Técnico Único,Não,15,1,10,7,2,49.03
futebol,26,Palmeiras,Técnico Único,Não,17,3,15,5,3,54.31
futebol,27,Palmeiras,Técnico Único,Sim,11,2,17,6,2,51.85
futebol,28,Palmeiras,Técnico Único,Não,15,2,13,5,3,56.99
futebol,29,Palmeiras,Técnico Único,Sim,13,5,16,6,1,51.0
futebol,30,Palmeiras,Técnico Único,Sim,17,0,13,4,2,54.08
futebol,31,Palmeiras,Técnico Único,Não,15,1,18,7,4,53.9
futebol,32,Palmeiras,Técnico Único,Não,12,2,14,4,3,61.16
