tema,lote_id,maquina,turno,temperatura_antes,temperatura_depois,defeitos,espessura_mm,tempo_ciclo_s,vibracao
manufatura,1,M2,noite,87.65,84.14,6,1.783,37.19,4.88
manufatura,2,M1,noite,88.05,84.72,6,1.723,44.34,3.4
manufatura,3,M2,dia,84.51,83.78,4,1.837,43.4,3.84
manufatura,4,M1,dia,82.49,82.98,1,1.93,38.1,3.09
manufatura,5,M1,noite,85.35,82.27,1,1.944,43.54,2.86
manufatura,6,M1,noite,80.53,76.51,8,1.924,41.71,4.3
manufatura,7,M2,noite,88.62,83.78,6,1.783,43.81,4.3
manufatura,8,M1,dia,82.59,79.45,9,1.778,30.45,3.72
manufatura,9,M2,dia,78.33,77.48,4,1.786,39.95,3.87
manufatura,10,M1,noite,82.56,82.4,5,1.8,51.48,3.75
manufatura,11,M2,dia,82.63,80.84,8,1.909,46.6,2.85
manufatura,12,M2,dia,89.62,86.89,6,1.85,32.72,3.33
manufatura,13,M1,dia,77.95,75.96,5,1.776,43.96,2.54
manufatura,14,M1,noite,84.52,83.29,5,1.891,49.63,2.82
manufatura,15,M2,noite,89.06,85.77,4,1.802,46.56,4.54
manufatura,16,M1,noite,87.21,83.15,5,1.844,39.65,3.4
manufatura,17,M2,noite,93.79,90.02,4,1.634,45.99,4.76
manufatura,18,M2,noite,95.73,93.64,2,1.961,49.73,3.85
manufatura,19,M1,noite,80.98,75.64,3,1.872,49.69,3.06
manufatura,20,M1,noite,85.04,82.09,8,1.763,46.13,2.9
manufatura,21,M2,dia,86.67,86.87,3,1.721,38.12,4.14
manufatura,22,M2,dia,86.48,87.2,7,1.889,49.86,3.39
manufatura,23,M2,dia,86.46,85.34,2,1.732,43.77,4.88
manufatura,24,M2,dia,84.02,82.08,4,1.831,37.91,3.83
manufatura,25,M2,dia,78.29,78.64,5,1.725,46.24,4.54
manufatura,26,M2,noite,84.03,79.85,6,1.735,45.16,4.71
manufatura,27,M2,dia,84.92,82.91,6,1.818,37.31,4.64
manufatura,28,M2,dia,83.69,82.58,2,1.917,45.42,3.83
manufatura,29,M2,noite,82.74,78.83,6,1.871,40.45,3.39
manufatura,30,M1,noite,85.83,81.72,5,1.776,47.42,2.83
manufatura,31,M1,dia,87.74,86.04,5,1.765,53.51,2.0
manufatura,32,M2,noite,90.31,87.88,2,1.922,44.7,4.03
manufatura,33,M1,noite,81.87,78.23,5,1.965,49.83,3.01
manufatura,34,M1,dia,86.05,84.69,6,1.876,32.77,2.9
manufatura,35,M1,noite,83.84,81.29,2,1.91,42.98,4.41
manufatura,36,M2,dia,86.87,85.9,4,1.832,49.35,3.26
manufatura,37,M2,noite,86.81,84.83,7,1.951,45.38,3.49
manufatura,38,M2,dia,92.11,89.92,7,1.752,44.95,3.94
manufatura,39,M1,dia,89.12,88.81,6,1.759,37.65,2.75
manufatura,40,M1,dia,86.1,86.09,10,1.897,40.7,3.1
manufatura,41,M1,noite,86.33,86.63,6,1.814,48.91,2.8
manufatura,42,M2,noite,83.25,78.56,5,1.614,45.01,3.62
manufatura,43,M1,dia,85.55,83.98,3,1.733,43.67,2.19
manufatura,44,M1,dia,80.13,77.81,2,1.99,48.75,2.76
manufatura,45,M1,dia,90.0,86.8,3,1.834,44.33,2.97
manufatura,46,M1,dia,81.04,77.54,10,1.841,46.31,3.09
manufatura,47,M1,noite,85.08,81.81,4,1.801,51.18,3.1
manufatura,48,M1,dia,86.72,84.7,4,1.828,47.85,3.45
manufatura,49,M1,dia,85.16,83.01,3,1.875,38.69,2.3
manufatura,50,M2,dia,85.92,83.82,7,1.907,45.92,3.35
manufatura,51,M1,dia,98.13,95.99,7,1.841,48.28,3.52
manufatura,52,M2,noite,83.03,79.77,7,1.794,47.57,3.96
manufatura,53,M1,dia,79.27,78.12,3,1.86,43.97,3.13
manufatura,54,M1,dia,80.69,76.86,6,1.825,45.17,2.54
