tema,rodada,time,tecnico,mandante,faltas,gols,finalizacoes,escanteios,cartoes_amarelos,posse_bola
futebol,1,Corinthians,Técnico A,Sim,13,1,14,5,3,50.01
futebol,2,Corinthians,Técnico A,Sim,14,1,13,4,3,47.48
futebol,3,Corinthians,Técnico A,Sim,15,0,12,3,3,53.17
futebol,4,Corinthians,Técnico A,Sim,19,2,15,6,4,52.28
futebol,5,Corinthians,Técnico A,Não,17,2,12,5,4,38.67
futebol,6,Corinthians,Técnico A,Não,14,1,10,5,4,45.89
futebol,7,Corinthians,Técnico A,Não,15,1,13,3,3,49.98
futebol,8,Corinthians,Técnico A,Sim,14,2,13,6,4,49.73
futebol,9,Corinthians,Técnico A,Não,16,1,10,5,4,50.43
futebol,10,Corinthians,Técnico A,Não,20,0,13,3,5,51.46
futebol,11,Corinthians,Técnico A,Sim,15,0,8,4,4,50.12
futebol,12,Corinthians,Técnico A,Sim,18,2,14,4,4,48.23
futebol,13,Corinthians,Técnico A,Não,16,1,9,7,5,49.67
futebol,14,Corinthians,Técnico A,Não,18,2,10,3,4,44.73
futebol,15,Corinthians,Técnico A,Não,15,3,17,6,2,51.48
futebol,16,Corinthians,Técnico A,Sim,15,0,10,4,3,51.53
futebol,17,Corinthians,Técnico B,Não,14,1,10,3,2,32.75
futebol,18,Corinthians,Técnico B,Não,13,1,9,5,4,45.34
futebol,19,Corinthians,Técnico B,Sim,17,1,11,5,4,42.67
futebol,20,Corinthians,Técnico B,Sim,15,1,11,5,3,45.07
futebol,21,Corinthians,Técnico B,Não,19,5,16,6,4,49.76
futebol,22,Corinthians,Técnico B,Sim,22,3,16,7,3,48.17
futebol,23,Corinthians,Técnico B,Sim,16,1,14,6,5,40.87
futebol,24,Corinthians,Técnico B,Sim,15,2,15,2,5,50.27
futebol,25,Corinthians,Técnico B,Sim,13,0,16,5,4,43.76
futebol,26,Corinthians,Técnico B,Não,17,3,12,7,4,42.63
futebol,27,Corinthians,Técnico B,Não,19,1,10,6,4,39.01
futebol,28,Corinthians,Técnico B,Não,17,1,9,6,4,41.67
futebol,29,Corinthians,Técnico B,Não,13,1,15,5,3,49.81
futebol,30,Corinthians,Técnico B,Sim,20,2,10,5,4,57.19
futebol,31,Corinthians,Técnico B,Sim,12,1,14,4,3,49.43
futebol,32,Corinthians,Técnico B,Sim,13,4,19,5,3,48.12
futebol,1,Palmeiras,Técnico Único,Não,9,1,14,5,4,52.31
futebol,2,Palmeiras,Técnico Único,Não,13,3,15,8,3,49.57
futebol,3,Palmeiras,Técnico Único,Não,15,2,13,6,3,44.61
futebol,4,Palmeiras,Técnico Único,Sim,8,2,13,7,2,57.69
futebol,5,Palmeiras,Técnico Único,Sim,17,2,18,3,4,65.12
futebol,6,Palmeiras,Técnico Único,Não,11,5,16,4,2,52.18
futebol,7,Palmeiras,Técnico Único,Não,15,0,16,5,3,49.54
futebol,8,Palmeiras,Técnico Único,Não,16,2,17,7,4,46.14
futebol,9,Palmeiras,Técnico Único,Sim,13,3,23,5,2,52.17
futebol,10,Palmeiras,Técnico Único,Sim,10,3,17,4,4,64.51
futebol,11,Palmeiras,Técnico Único,Não,11,1,17,6,2,47.6
futebol,12,Palmeiras,Técnico Único,Sim,12,1,11,6,2,66.99
futebol,13,Palmeiras,Técnico Único,Sim,12,1,10,6,3,46.84
futebol,14,Palmeiras,Técnico Único,Sim,15,4,12,7,2,56.09
futebol,15,Palmeiras,Técnico Único,Não,13,0,10,6,3,55.53
futebol,16,Palmeiras,Técnico Único,Não,13,0,14,6,3,56.11
futebol,17,Palmeiras,Técnico Único,Sim,10,8,18,7,2,55.75
futebol,18,Palmeiras,Técnico Único,Sim,12,0,12,5,2,51.78
futebol,19,Palmeiras,Técnico Único,Sim,11,1,13,7,3,60.89
futebol,20,Palmeiras,Técnico Único,Sim,10,2,19,7,4,58.89
futebol,21,Palmeiras,Técnico Único,Não,16,0,13,5,3,47.67
futebol,22,Palmeiras,Técnico Único,Não,12,1,17,4,3,55.15
futebol,23,Palmeiras,Técnico Único,Não,20,2,19,5,3,57.64
futebol,24,Palmeiras,Técnico Único,Não,12,3,13,6,4,47.24
futebol,25,Palmeiras,Técnico Único,Sim,12,1,15,6,2,60.62
futebol,26,Palmeiras,Técnico Único,Sim,12,3,17,6,3,51.63
futebol,27,Palmeiras,Técnico Único,Não,13,1,13,5,4,49.71
futebol,28,Palmeiras,Técnico Único,Não,13,2,14,6,4,45.76
futebol,29,Palmeiras,Técnico Único,Não,19,1,13,6,4,48.89
futebol,30,Palmeiras,Técnico Único,Sim,13,4,16,6,3,52.61
futebol,31,Palmeiras,Técnico Único,Não,12,0,9,5,3,49.93
futebol,32,Palmeiras,Técnico Único,Sim,11,3,14,9,4,61.31
