tema,rodada,time,tecnico,mandante,faltas,gols,finalizacoes,escanteios,cartoes_amarelos,posse_bola
futebol,1,Corinthians,Técnico A,Não,15,2,15,6,2,39.64
futebol,2,Corinthians,Técnico A,Não,16,1,7,4,2,51.11
futebol,3,Corinthians,Técnico A,Não,13,0,7,6,3,40.17
futebol,4,Corinthians,Técnico A,Sim,13,1,12,6,2,48.56
futebol,5,Corinthians,Técnico A,Não,14,0,14,4,3,43.8
futebol,6,Corinthians,Técnico A,Não,11,1,10,3,4,49.85
futebol,7,Corinthians,Técnico A,Não,14,3,14,4,4,46.19
futebol,8,Corinthians,Técnico A,Sim,16,1,7,6,3,50.8
futebol,9,Corinthians,Técnico A,Não,14,2,14,5,4,39.5
futebol,10,Corinthians,Técnico A,Não,15,1,10,6,4,42.58
futebol,11,Corinthians,Técnico A,Não,18,1,11,5,3,43.4
futebol,12,Corinthians,Técnico A,Não,16,2,17,4,4,51.71
futebol,13,Corinthians,Técnico A,Não,19,2,15,3,5,42.8
futebol,14,Corinthians,Técnico A,Sim,17,1,14,6,4,58.46
futebol,15,Corinthians,Técnico A,Não,15,1,14,5,3,48.94
futebol,16,Corinthians,Técnico A,Sim,14,0,12,4,4,53.74
futebol,17,Corinthians,Técnico B,Não,15,2,13,5,4,47.02
futebol,18,Corinthians,Técnico B,Sim,16,5,21,4,4,48.89
futebol,19,Corinthians,Técnico B,Sim,15,2,13,5,2,44.01
futebol,20,Corinthians,Técnico B,Sim,16,2,10,5,3,44.77
futebol,21,Corinthians,Técnico B,Não,20,1,16,6,5,47.23
futebol,22,Corinthians,Técnico B,Não,17,3,14,6,4,44.31
futebol,23,Corinthians,Técnico B,Sim,10,4,10,5,3,50.52
futebol,24,Corinthians,Técnico B,Sim,18,1,14,7,3,55.59
futebol,25,Corinthians,Técnico B,Sim,15,1,16,3,4,53.89
futebol,26,Corinthians,Técnico B,Não,18,0,9,6,4,51.69
futebol,27,Corinthians,Técnico B,Sim,15,0,12,2,4,54.66
futebol,28,Corinthians,Técnico B,Não,11,0,13,5,4,47.15
futebol,29,Corinthians,Técnico B,Não,17,1,15,6,4,58.74
futebol,30,Corinthians,Técnico B,Sim,16,3,11,5,5,47.06
futebol,31,Corinthians,Técnico B,Sim,16,1,13,4,3,52.96
futebol,32,Corinthians,Técnico B,Sim,16,2,13,4,2,53.17
futebol,1,Palmeiras,Técnico Único,Sim,9,4,17,6,2,49.03
futebol,2,Palmeiras,Técnico Único,Não,12,0,9,6,3,53.59
futebol,3,Palmeiras,Técnico Único,Sim,13,0,13,7,4,56.75
futebol,4,Palmeiras,Técnico Único,Não,19,2,16,7,4,46.37
futebol,5,Palmeiras,Técnico Único,Sim,13,1,17,6,2,58.26
futebol,6,Palmeiras,Técnico Único,Sim,12,0,16,4,2,58.0
futebol,7,Palmeiras,Técnico Único,Não,12,1,14,6,2,57.63
futebol,8,Palmeiras,Técnico Único,Não,12,1,14,6,4,44.88
futebol,9,Palmeiras,Técnico Único,Sim,17,3,15,8,3,59.37
futebol,10,Palmeiras,Técnico Único,Não,16,5,22,7,3,54.76
futebol,11,Palmeiras,Técnico Único,Não,14,1,14,6,2,57.03
futebol,12,Palmeiras,Técnico Único,Não,16,2,14,4,2,52.06
futebol,13,Palmeiras,Técnico Único,Sim,14,3,14,7,3,61.93
futebol,14,Palmeiras,Técnico Único,Não,14,2,17,4,3,49.28
futebol,15,Palmeiras,Técnico Único,Não,15,2,19,4,3,57.57
futebol,16,Palmeiras,Técnico Único,Não,16,0,12,5,3,51.76
futebol,17,Palmeiras,Técnico Único,Não,11,3,17,6,3,48.85
futebol,18,Palmeiras,Técnico Único,Sim,13,2,17,4,2,58.06
futebol,19,Palmeiras,Técnico Único,Não,10,1,15,8,3,51.82
futebol,20,Palmeiras,Técnico Único,Sim,10,2,14,4,3,58.19
futebol,21,Palmeiras,Técnico Único,Sim,14,1,15,7,3,55.1
futebol,22,Palmeiras,Técnico Único,Sim,16,2,18,6,2,52.78
futebol,23,Palmeiras,Técnico Único,Sim,13,1,12,5,3,51.45
futebol,24,Palmeiras,Técnico Único,Não,10,2,16,7,3,47.7
futebol,25,Palmeiras,Técnico Único,Sim,12,3,17,8,2,55.41
futebol,26,Palmeiras,Técnico Único,Sim,10,0,11,4,3,50.52
futebol,27,Palmeiras,Técnico Único,Não,13,2,16,4,2,56.88
futebol,28,Palmeiras,Técnico Único,Não,14,1,10,6,2,58.43
futebol,29,Palmeiras,Técnico Único,Sim,15,2,17,7,4,53.44
futebol,30,Palmeiras,Técnico Único,Não,14,0,9,5,2,54.01
futebol,31,Palmeiras,Técnico Único,Não,13,3,13,6,2,45.64
futebol,32,Palmeiras,Técnico Único,Não,11,3,17,6,3,51.3
