tema,cliente_id,dispositivo,campanha,tempo_antes_min,tempo_depois_min,conversao_antes_pct,conversao_depois_pct,ticket_medio,itens_carrinho,satisfacao
ecommerce,1,mobile,A,7.18,6.57,2.45,2.79,68.55,2,6.18
ecommerce,2,desktop,A,5.98,5.86,2.71,3.03,144.95,1,6.09
ecommerce,3,mobile,A,8.05,7.21,2.24,2.04,165.44,2,6.14
ecommerce,4,desktop,B,8.4,7.8,3.45,3.5,138.27,4,8.55
ecommerce,5,mobile,A,8.63,8.58,0.6,1.17,140.91,4,6.13
ecommerce,6,mobile,A,9.54,9.45,1.63,2.19,138.67,1,7.91
ecommerce,7,desktop,A,7.71,7.0,2.66,2.54,216.65,4,7.0
ecommerce,8,mobile,B,8.95,8.76,2.85,3.7,126.45,1,7.17
ecommerce,9,mobile,A,8.5,9.05,2.34,2.48,155.06,2,7.83
ecommerce,10,mobile,B,5.95,4.18,1.85,2.5,112.79,3,7.13
ecommerce,11,mobile,A,7.55,7.15,1.97,1.31,103.72,4,7.72
ecommerce,12,desktop,A,8.11,7.87,2.76,3.42,225.6,5,8.2
ecommerce,13,mobile,B,7.1,6.71,2.41,2.9,121.52,2,5.86
ecommerce,14,mobile,A,10.5,10.62,3.52,2.78,95.93,5,5.92
ecommerce,15,mobile,A,8.55,8.33,2.83,2.77,128.41,2,8.67
ecommerce,16,desktop,B,6.49,6.07,2.26,2.99,176.95,3,7.73
ecommerce,17,mobile,A,7.48,6.52,1.48,1.87,108.49,2,7.28
ecommerce,18,mobile,B,12.58,11.74,3.49,4.23,132.02,5,7.18
ecommerce,19,mobile,A,8.16,9.02,2.96,3.54,124.36,1,8.06
ecommerce,20,desktop,B,8.54,7.85,2.95,3.17,135.1,3,8.34
ecommerce,21,desktop,A,8.86,8.41,2.44,2.17,182.13,5,6.44
ecommerce,22,mobile,B,6.91,5.12,3.28,4.31,135.11,1,9.36
ecommerce,23,desktop,B,7.41,6.94,2.34,3.18,147.93,4,7.2
ecommerce,24,mobile,A,7.94,7.12,0.83,0.51,156.43,2,6.95
ecommerce,25,mobile,A,9.22,8.58,1.37,1.77,94.74,5,8.17
ecommerce,26,desktop,B,7.77,6.63,3.16,3.34,197.95,3,8.31
ecommerce,27,mobile,A,10.16,9.71,2.29,1.85,148.77,2,5.77
ecommerce,28,desktop,A,7.6,8.21,2.88,3.1,188.43,4,6.25
ecommerce,29,mobile,B,9.37,8.46,3.32,4.02,100.7,3,8.87
ecommerce,30,mobile,B,9.55,8.49,3.04,3.88,89.13,3,7.67
ecommerce,31,desktop,B,7.36,6.58,1.46,2.27,187.06,4,8.99
ecommerce,32,desktop,B,9.87,9.52,2.33,3.09,179.32,1,5.38
ecommerce,33,desktop,B,8.69,7.47,2.8,3.5,203.88,4,7.89
ecommerce,34,mobile,A,9.76,8.92,2.68,2.66,147.37,1,7.63
ecommerce,35,mobile,B,10.48,9.98,2.0,2.48,168.34,4,6.82
ecommerce,36,mobile,A,9.74,9.64,3.52,3.63,125.47,4,6.84
ecommerce,37,mobile,A,11.09,11.09,2.18,2.53,83.01,2,7.95
ecommerce,38,mobile,B,10.83,10.42,2.01,2.73,125.57,3,6.28
ecommerce,39,mobile,A,8.08,8.29,1.44,1.79,181.22,2,7.93
ecommerce,40,mobile,A,9.79,9.93,2.97,2.82,137.8,2,6.75
ecommerce,41,mobile,A,11.05,10.98,3.66,4.22,227.63,3,8.23
ecommerce,42,desktop,A,7.46,7.34,2.75,2.5,152.74,8,7.0
ecommerce,43,mobile,A,7.63,6.17,1.72,1.9,115.73,2,6.28
ecommerce,44,mobile,B,7.42,6.52,2.04,2.91,115.02,1,6.35
ecommerce,45,desktop,A,6.95,6.88,2.19,2.04,217.77,2,6.91
ecommerce,46,desktop,B,6.71,5.37,3.03,4.0,181.16,5,7.05
ecommerce,47,desktop,B,8.93,7.78,1.57,1.95,172.37,3,6.96
ecommerce,48,mobile,A,9.22,8.68,1.87,2.46,158.37,1,7.87
