tema,rodada,time,tecnico,mandante,faltas,gols,finalizacoes,escanteios,cartoes_amarelos,posse_bola
futebol,1,Corinthians,Técnico A,Sim,13,0,10,6,3,62.29
futebol,2,Corinthians,Técnico A,Não,13,0,9,5,4,53.9
futebol,3,Corinthians,Técnico A,Sim,15,1,12,4,3,49.45
futebol,4,Corinthians,Técnico A,Não,18,3,16,4,5,48.31
futebol,5,Corinthians,Técnico A,Não,17,0,12,6,3,46.94
futebol,6,Corinthians,Técnico A,Sim,11,0,10,6,2,52.74
futebol,7,Corinthians,Técnico A,Sim,18,1,9,6,6,54.32
futebol,8,Corinthians,Técnico A,Não,16,2,11,5,4,39.3
futebol,9,Corinthians,Técnico A,Sim,16,3,16,6,5,51.96
futebol,10,Corinthians,Técnico A,Sim,19,0,9,5,3,51.01
futebol,11,Corinthians,Técnico A,Sim,15,1,13,6,3,34.23
futebol,12,Corinthians,Técnico A,Sim,20,2,16,7,4,54.61
futebol,13,Corinthians,Técnico A,Sim,18,1,14,5,3,45.07
futebol,14,Corinthians,Técnico A,Sim,15,1,14,5,3,48.77
futebol,15,Corinthians,Técnico A,Não,13,2,14,6,3,45.25
futebol,16,Corinthians,Técnico A,Sim,15,2,13,3,3,50.91
futebol,17,Corinthians,Técnico B,Sim,12,3,16,6,4,53.31
futebol,18,Corinthians,Técnico B,Sim,16,2,14,6,3,51.58
futebol,19,Corinthians,Técnico B,Sim,15,2,6,3,3,60.05
futebol,20,Corinthians,Técnico B,Não,15,1,11,3,4,44.83
futebol,21,Corinthians,Técnico B,Não,11,2,15,3,3,44.8
futebol,22,Corinthians,Técnico B,Não,15,1,12,7,6,45.42
futebol,23,Corinthians,Técnico B,Sim,13,3,16,4,4,52.73
futebol,24,Corinthians,Técnico B,Sim,16,3,10,6,4,49.62
futebol,25,Corinthians,Técnico B,Não,16,0,11,3,3,49.72
futebol,26,Corinthians,Técnico B,Não,16,2,13,4,4,46.83
futebol,27,Corinthians,Técnico B,Não,17,2,13,6,3,60.02
futebol,28,Corinthians,Técnico B,Sim,14,3,13,6,3,46.09
futebol,29,Corinthians,Técnico B,Sim,17,1,12,5,4,49.36
futebol,30,Corinthians,Técnico B,Sim,16,0,10,6,3,47.06
futebol,31,Corinthians,Técnico B,Sim,15,2,12,4,4,51.73
futebol,32,Corinthians,Técnico B,Não,15,2,17,3,4,48.65
futebol,1,Palmeiras,Técnico Único,Sim,12,2,16,4,2,54.15
futebol,2,Palmeiras,Técnico Único,Sim,11,1,17,5,2,70.0
futebol,3,Palmeiras,Técnico Único,Não,10,2,15,6,4,44.68
futebol,4,Palmeiras,Técnico Único,Não,13,3,13,7,3,49.85
futebol,5,Palmeiras,Técnico Único,Não,15,3,16,8,3,47.81
futebol,6,Palmeiras,Técnico Único,Não,15,4,19,7,3,47.75
futebol,7,Palmeiras,Técnico Único,Sim,14,0,15,5,1,59.7
futebol,8,Palmeiras,Técnico Único,Sim,12,3,18,6,3,60.41
futebol,9,Palmeiras,Técnico Único,Não,17,1,15,6,3,53.9
futebol,10,Palmeiras,Técnico Único,Não,14,1,11,5,2,49.75
futebol,11,Palmeiras,Técnico Único,Não,14,2,18,6,3,53.75
futebol,12,Palmeiras,Técnico Único,Sim,13,1,15,6,2,60.29
futebol,13,Palmeiras,Técnico Único,Sim,15,2,13,6,4,49.18
futebol,14,Palmeiras,Técnico Único,Sim,14,2,14,9,3,53.65
futebol,15,Palmeiras,Técnico Único,Sim,13,4,18,8,3,61.68
futebol,16,Palmeiras,Técnico Único,Sim,12,1,17,4,3,54.91
futebol,17,Palmeiras,Técnico Único,Sim,15,1,13,7,4,58.96
futebol,18,Palmeiras,Técnico Único,Não,13,2,16,5,2,53.58
futebol,19,Palmeiras,Técnico Único,Sim,14,0,14,6,3,53.02
futebol,20,Palmeiras,Técnico Único,Sim,10,1,12,6,3,57.28
futebol,21,Palmeiras,Técnico Único,Sim,16,1,13,5,3,59.54
futebol,22,Palmeiras,Técnico Único,Não,12,4,15,7,3,57.93
futebol,23,Palmeiras,Técnico Único,Sim,7,2,17,8,2,63.23
futebol,24,Palmeiras,Técnico Único,Sim,12,0,13,5,2,54.16
futebol,25,Palmeiras,Técnico Único,Não,13,0,10,5,3,49.01
futebol,26,Palmeiras,Técnico Único,Sim,12,2,18,7,2,57.64
futebol,27,Palmeiras,Técnico Único,Não,16,3,18,9,2,49.15
futebol,28,Palmeiras,Técnico Único,Sim,15,3,19,6,3,53.35
futebol,29,Palmeiras,Técnico Único,Não,12,1,19,6,4,51.19
futebol,30,Palmeiras,Técnico Único,Não,19,4,17,8,2,55.48
futebol,31,Palmeiras,Técnico Único,Sim,8,1,14,5,2,58.03
futebol,32,Palmeiras,Técnico Único,Sim,12,0,11,7,3,51.64
