tema,rodada,time,tecnico,mandante,faltas,gols,finalizacoes,escanteios,cartoes_amarelos,posse_bola
futebol,1,Corinthians,Técnico A,Não,15,0,13,5,4,47.7
futebol,2,Corinthians,Técnico A,Sim,15,3,17,8,4,44.35
futebol,3,Corinthians,Técnico A,Sim,20,1,12,2,4,46.52
futebol,4,Corinthians,Técnico A,Não,19,1,8,6,4,48.51
futebol,5,Corinthians,Técnico A,Sim,16,1,8,2,3,54.27
futebol,6,Corinthians,Técnico A,Não,13,0,13,5,4,39.92
futebol,7,Corinthians,Técnico A,Não,17,2,13,5,2,41.28
futebol,8,Corinthians,Técnico A,Não,16,3,17,6,4,50.47
futebol,9,Corinthians,Técnico A,Não,16,1,13,4,3,39.18
futebol,10,Corinthians,Técnico A,Sim,13,0,10,6,5,54.55
futebol,11,Corinthians,Técnico A,Não,18,1,10,4,3,38.55
futebol,12,Corinthians,Técnico A,Sim,17,0,11,4,4,43.3
futebol,13,Corinthians,Técnico A,Não,16,0,9,4,3,44.99
futebol,14,Corinthians,Técnico A,Não,19,0,13,7,4,43.49
futebol,15,Corinthians,Técnico A,Sim,16,1,14,5,4,41.98
futebol,16,Corinthians,Técnico A,Não,15,2,15,5,4,46.81
futebol,17,Corinthians,Técnico B,Sim,15,0,14,3,3,54.74
futebol,18,Corinthians,Técnico B,Não,17,0,10,5,4,37.41
futebol,19,Corinthians,Técnico B,Sim,21,0,9,3,4,59.89
futebol,20,Corinthians,Técnico B,Não,13,3,12,6,3,41.11
futebol,21,Corinthians,Técnico B,Sim,15,1,14,3,4,46.03
futebol,22,Corinthians,Técnico B,Não,14,3,11,7,4,55.39
futebol,23,Corinthians,Técnico B,Não,15,0,9,5,4,51.41
futebol,24,Corinthians,Técnico B,Não,16,1,16,3,2,48.78
futebol,25,Corinthians,Técnico B,Não,16,1,12,5,4,39.09
futebol,26,Corinthians,Técnico B,Sim,16,1,10,4,4,51.41
futebol,27,Corinthians,Técnico B,Sim,13,2,10,6,4,48.3
futebol,28,Corinthians,Técnico B,Não,15,4,17,6,5,49.68
futebol,29,Corinthians,Técnico B,Não,13,1,14,6,3,49.51
futebol,30,Corinthians,Técnico B,Sim,18,1,13,5,4,51.18
futebol,31,Corinthians,Técnico B,Não,14,0,6,6,3,51.68
futebol,32,Corinthians,Técnico B,Não,17,1,11,2,2,48.92
futebol,1,Palmeiras,Técnico Único,Não,15,2,15,5,3,48.83
futebol,2,Palmeiras,Técnico Único,Sim,13,2,13,5,1,68.1
futebol,3,Palmeiras,Técnico Único,Não,19,1,11,5,3,46.66
futebol,4,Palmeiras,Técnico Único,Não,13,3,15,5,1,46.69
futebol,5,Palmeiras,Técnico Único,Não,13,0,16,4,4,47.45
futebol,6,Palmeiras,Técnico Único,Sim,15,1,15,5,3,53.74
futebol,7,Palmeiras,Técnico Único,Sim,13,1,16,6,3,58.71
futebol,8,Palmeiras,Técnico Único,Sim,8,1,14,5,3,51.72
futebol,9,Palmeiras,Técnico Único,Sim,12,2,15,7,3,60.67
futebol,10,Palmeiras,Técnico Único,Não,13,1,9,5,4,53.18
futebol,11,Palmeiras,Técnico Único,Não,15,1,15,5,4,56.28
futebol,12,Palmeiras,Técnico Único,Não,14,1,13,5,3,51.07
futebol,13,Palmeiras,Técnico Único,Sim,14,1,9,4,3,44.99
futebol,14,Palmeiras,Técnico Único,Não,17,0,17,8,2,63.21
futebol,15,Palmeiras,Técnico Único,Não,13,4,19,5,4,56.59
futebol,16,Palmeiras,Técnico Único,Não,16,2,17,4,3,47.54
futebol,17,Palmeiras,Técnico Único,Não,9,1,14,7,4,47.84
futebol,18,Palmeiras,Técnico Único,Não,17,1,14,7,3,50.52
futebol,19,Palmeiras,Técnico Único,Não,18,3,17,4,3,55.15
futebol,20,Palmeiras,Técnico Único,Sim,14,4,15,6,3,63.32
futebol,21,Palmeiras,Técnico Único,Não,11,2,13,7,3,62.14
futebol,22,Palmeiras,Técnico Único,Sim,11,1,13,6,3,59.23
futebol,23,Palmeiras,Técnico Único,Sim,11,0,17,5,3,56.15
futebol,24,Palmeiras,Técnico Único,Sim,13,2,10,5,2,60.64
futebol,25,Palmeiras,Técnico Único,Não,9,3,16,5,1,55.09
futebol,26,Palmeiras,Técnico Único,Sim,9,2,18,4,3,54.13
futebol,27,Palmeiras,Técnico Único,Sim,11,1,12,5,2,60.25
futebol,28,Palmeiras,Técnico Único,Não,16,1,12,8,4,53.14
futebol,29,Palmeiras,Técnico Único,Não,15,3,17,7,1,57.17
futebol,30,Palmeiras,Técnico Único,Sim,12,2,11,5,3,53.27
futebol,31,Palmeiras,Técnico Único,Não,12,2,14,7,2,46.3
futebol,32,Palmeiras,Técnico Único,Sim,13,0,11,2,2,51.78
