tema,lote_id,maquina,turno,temperatura_antes,temperatura_depois,defeitos,espessura_mm,tempo_ciclo_s,vibracao
manufatura,1,M1,noite,77.16,74.12,4,1.714,38.13,3.58
manufatura,2,M2,noite,84.23,81.65,4,1.786,40.13,2.81
manufatura,3,M2,noite,85.99,83.54,9,1.745,43.64,2.52
manufatura,4,M1,noite,82.79,81.19,4,1.718,46.94,3.21
manufatura,5,M2,dia,93.08,91.99,10,1.749,47.44,3.64
manufatura,6,M2,noite,87.26,85.28,1,1.868,45.21,3.9
manufatura,7,M2,noite,80.01,77.15,9,1.747,40.31,4.24
manufatura,8,M2,dia,86.59,85.21,4,1.918,48.22,3.37
manufatura,9,M2,dia,82.64,81.7,10,1.829,48.06,4.17
manufatura,10,M1,noite,84.44,79.83,3,1.801,38.88,3.47
manufatura,11,M1,dia,85.78,84.79,3,1.799,41.02,3.48
manufatura,12,M1,dia,81.83,78.31,4,1.889,34.63,4.3
manufatura,13,M1,noite,83.35,80.67,3,1.695,45.01,3.2
manufatura,14,M2,dia,82.66,82.78,7,1.882,35.55,3.31
manufatura,15,M1,dia,87.82,87.4,4,1.926,36.75,3.01
manufatura,16,M1,dia,85.87,83.93,7,1.737,48.97,3.31
manufatura,17,M1,noite,88.91,87.4,0,1.855,51.38,3.37
manufatura,18,M1,noite,88.14,84.82,8,1.826,44.9,3.33
manufatura,19,M2,dia,85.81,83.13,9,1.782,36.78,4.2
manufatura,20,M1,dia,87.42,86.31,5,1.736,30.75,2.82
manufatura,21,M2,dia,89.85,87.99,7,1.645,41.86,3.5
manufatura,22,M2,noite,92.18,89.81,5,1.823,47.66,3.45
manufatura,23,M2,dia,89.18,85.75,3,1.784,38.54,4.0
manufatura,24,M2,noite,91.61,88.24,12,1.707,43.83,4.31
manufatura,25,M1,dia,82.83,82.2,3,1.87,37.81,3.75
manufatura,26,M2,noite,87.57,85.45,6,1.793,43.84,5.06
manufatura,27,M2,noite,93.2,89.45,3,1.621,49.51,3.36
manufatura,28,M1,dia,84.13,80.86,5,1.879,38.78,2.81
manufatura,29,M2,noite,91.26,88.91,7,1.879,41.86,4.09
manufatura,30,M2,noite,85.45,82.92,5,1.829,45.1,3.53
manufatura,31,M1,dia,82.24,78.96,6,1.813,44.21,2.95
manufatura,32,M1,noite,82.05,77.79,4,1.727,43.66,3.19
manufatura,33,M2,dia,89.84,87.17,4,1.851,43.52,3.69
manufatura,34,M1,noite,81.64,77.78,1,1.895,37.69,3.14
manufatura,35,M2,noite,88.01,86.05,8,1.86,41.62,3.87
manufatura,36,M1,noite,82.2,79.35,3,1.777,45.9,2.55
manufatura,37,M2,noite,87.84,85.99,4,1.705,50.17,4.18
manufatura,38,M2,noite,88.73,83.27,7,1.864,49.34,3.49
manufatura,39,M1,dia,79.19,78.33,4,1.857,40.19,3.3
manufatura,40,M1,dia,82.22,81.9,3,1.76,35.06,3.43
manufatura,41,M1,noite,88.68,85.86,5,1.792,50.1,2.78
manufatura,42,M2,noite,81.12,76.55,3,1.696,50.38,4.21
manufatura,43,M1,dia,84.56,80.72,2,1.93,39.39,3.32
manufatura,44,M1,dia,85.95,84.61,3,1.728,33.26,2.58
manufatura,45,M2,dia,89.76,88.04,3,1.797,47.24,4.15
manufatura,46,M1,noite,80.87,76.17,5,1.948,42.84,3.51
manufatura,47,M2,noite,90.61,86.68,3,1.791,40.35,4.09
manufatura,48,M1,dia,81.33,78.92,3,1.812,45.37,3.74
manufatura,49,M1,dia,89.78,89.38,7,1.873,43.92,3.95
manufatura,50,M1,noite,80.73,77.25,3,1.726,45.0,3.87
manufatura,51,M2,dia,83.74,84.06,5,1.831,46.26,2.64
manufatura,52,M1,noite,86.72,82.84,3,1.934,52.79,3.17
manufatura,53,M2,dia,85.8,81.26,6,1.773,34.36,3.24
manufatura,54,M1,noite,79.25,76.86,5,1.774,49.09,2.72
