tema,usuario_id,plano,interface,minutos_antes,minutos_depois,churn_pct,avaliacao,cliques_home,anuncios_vistos
streaming,1,standard,nova,67.96,78.82,11.93,6.61,17,3
streaming,2,standard,antiga,62.24,56.3,9.02,7.57,17,3
streaming,3,standard,antiga,73.52,83.91,9.49,6.44,14,3
streaming,4,standard,antiga,54.11,75.16,9.68,7.73,13,4
streaming,5,standard,nova,65.41,80.86,5.99,7.18,20,3
streaming,6,premium,antiga,58.52,58.45,4.0,6.28,19,0
streaming,7,standard,nova,47.84,72.8,6.88,8.46,23,4
streaming,8,standard,nova,66.26,83.81,8.99,10.0,18,3
streaming,9,standard,nova,39.5,44.79,8.1,6.78,16,4
streaming,10,standard,nova,48.33,77.25,9.7,6.69,5,2
streaming,11,standard,antiga,63.05,68.83,7.75,8.06,10,4
streaming,12,premium,nova,62.67,78.28,2.52,7.98,17,3
streaming,13,standard,nova,73.72,81.34,7.89,7.85,16,4
streaming,14,premium,nova,61.13,75.4,8.28,8.62,24,1
streaming,15,standard,antiga,84.85,96.76,6.22,7.89,18,5
streaming,16,premium,nova,78.72,91.32,7.32,7.82,19,2
streaming,17,standard,nova,38.81,56.71,6.56,7.99,18,4
streaming,18,premium,nova,68.71,75.07,8.38,9.73,16,0
streaming,19,standard,nova,55.3,65.11,10.1,6.05,18,3
streaming,20,standard,antiga,63.94,77.07,6.39,7.66,10,2
streaming,21,premium,antiga,53.37,54.95,3.36,7.49,12,0
streaming,22,premium,nova,79.74,78.18,7.62,8.21,18,2
streaming,23,standard,antiga,49.16,46.57,10.53,6.83,13,0
streaming,24,premium,nova,100.14,133.32,5.89,8.63,17,1
streaming,25,standard,antiga,84.12,85.95,8.54,8.02,15,3
streaming,26,premium,nova,62.98,81.77,4.63,8.39,14,1
streaming,27,standard,antiga,82.31,83.18,6.42,6.42,13,1
streaming,28,standard,antiga,78.24,74.97,7.32,7.63,11,1
streaming,29,premium,antiga,48.98,50.58,5.63,7.27,18,0
streaming,30,premium,nova,85.49,105.54,4.2,8.65,12,1
streaming,31,premium,nova,57.72,61.64,9.02,6.91,21,2
streaming,32,standard,antiga,73.46,75.42,8.26,7.97,8,4
streaming,33,premium,antiga,83.13,68.48,2.3,5.65,19,1
streaming,34,premium,nova,105.7,113.61,7.73,5.6,25,0
streaming,35,premium,nova,80.84,82.57,4.52,6.17,21,1
streaming,36,premium,nova,94.6,99.06,5.49,7.46,20,0
streaming,37,standard,antiga,66.19,74.52,11.1,7.36,14,6
streaming,38,premium,antiga,63.4,61.43,6.31,8.46,15,0
streaming,39,standard,nova,65.64,74.88,11.45,8.57,11,1
streaming,40,standard,nova,70.16,85.88,8.36,8.41,23,4
streaming,41,premium,antiga,53.11,61.35,3.04,6.86,14,0
streaming,42,standard,nova,32.12,47.28,9.31,8.53,20,2
streaming,43,premium,antiga,78.17,83.09,3.58,7.64,16,1
streaming,44,premium,nova,50.95,52.02,6.35,7.1,9,0
streaming,45,standard,nova,60.25,72.14,7.74,6.88,14,1
streaming,46,premium,antiga,81.1,82.74,2.74,6.28,12,1
streaming,47,standard,nova,61.42,69.62,9.7,7.16,19,1
streaming,48,standard,antiga,60.86,67.38,10.36,6.0,24,3
streaming,49,standard,nova,43.03,67.37,8.87,7.3,26,1
streaming,50,premium,nova,82.38,95.93,8.23,9.16,20,1
