tema,cliente_id,dispositivo,campanha,tempo_antes_min,tempo_depois_min,conversao_antes_pct,conversao_depois_pct,ticket_medio,itens_carrinho,satisfacao
ecommerce,1,mobile,B,8.72,7.68,2.73,3.18,80.77,2,7.52
ecommerce,2,desktop,A,8.07,7.54,2.34,3.06,168.04,3,4.58
ecommerce,3,mobile,B,8.03,7.37,2.6,2.62,128.24,1,7.64
ecommerce,4,mobile,B,8.4,7.55,2.38,2.96,198.43,1,9.19
ecommerce,5,mobile,B,10.59,9.74,1.65,2.47,113.32,2,6.9
ecommerce,6,mobile,B,6.86,6.54,2.51,2.6,125.93,2,8.24
ecommerce,7,desktop,A,8.14,7.95,2.11,1.92,194.08,4,8.21
ecommerce,8,desktop,B,9.07,8.5,3.15,3.41,109.32,4,7.42
ecommerce,9,desktop,B,6.54,5.73,3.36,4.33,217.38,1,6.77
ecommerce,10,mobile,A,8.03,7.35,2.68,2.19,82.56,2,6.72
ecommerce,11,desktop,A,7.57,6.76,2.36,2.96,180.47,2,8.79
ecommerce,12,mobile,B,8.6,7.81,1.82,2.88,127.57,4,6.01
ecommerce,13,desktop,A,6.22,6.23,3.08,3.11,158.32,2,8.88
ecommerce,14,mobile,A,9.96,10.07,2.65,3.0,98.16,4,6.4
ecommerce,15,mobile,A,8.55,8.67,2.74,3.73,154.82,1,6.5
ecommerce,16,desktop,A,8.61,8.61,3.19,3.26,178.01,4,7.43
ecommerce,17,mobile,B,8.3,7.98,1.62,1.79,128.24,2,8.32
ecommerce,18,desktop,B,10.35,10.09,3.52,4.51,174.9,3,8.37
ecommerce,19,mobile,B,9.47,8.61,1.08,1.73,142.74,1,8.33
ecommerce,20,mobile,A,8.65,8.54,2.48,2.06,136.03,3,8.14
ecommerce,21,mobile,B,7.32,6.37,1.99,3.03,180.36,1,7.67
ecommerce,22,desktop,A,10.25,10.42,3.47,3.59,171.4,3,7.0
ecommerce,23,mobile,A,9.17,9.67,2.95,3.47,105.6,2,8.18
ecommerce,24,desktop,B,8.29,7.43,3.74,4.4,230.1,3,9.41
ecommerce,25,mobile,A,8.66,8.62,3.38,3.92,145.36,4,6.52
ecommerce,26,mobile,A,7.36,6.54,1.11,0.86,145.22,1,7.65
ecommerce,27,desktop,A,7.14,7.54,1.24,1.17,166.69,3,7.23
ecommerce,28,mobile,B,6.72,5.81,2.25,2.32,152.28,3,7.05
ecommerce,29,mobile,A,9.59,8.78,1.67,1.81,154.16,1,7.6
ecommerce,30,mobile,B,7.31,7.4,1.37,2.27,138.78,1,8.08
ecommerce,31,desktop,B,5.79,5.2,3.46,4.27,167.61,2,6.0
ecommerce,32,mobile,B,7.88,7.35,2.9,3.14,92.13,5,5.21
ecommerce,33,mobile,B,8.88,7.28,2.88,3.31,106.8,3,7.82
ecommerce,34,mobile,B,6.52,5.95,3.82,4.08,132.26,2,5.89
ecommerce,35,desktop,A,6.22,6.03,1.14,0.51,206.69,6,8.17
ecommerce,36,mobile,B,7.97,7.32,2.04,3.0,106.64,4,7.45
ecommerce,37,desktop,A,7.37,7.22,1.8,1.81,241.73,3,6.27
ecommerce,38,mobile,A,8.55,8.35,3.41,3.89,190.15,3,8.42
ecommerce,39,mobile,B,8.48,7.45,2.39,2.81,167.65,3,7.88
ecommerce,40,mobile,B,5.34,5.07,1.94,2.46,191.18,3,7.95
ecommerce,41,mobile,B,9.16,8.29,2.2,2.26,119.93,3,7.76
ecommerce,42,desktop,A,10.45,10.31,2.39,2.22,252.28,4,7.54
ecommerce,43,mobile,B,9.59,8.91,2.8,3.65,167.01,1,8.65
ecommerce,44,desktop,B,6.81,5.96,3.0,3.45,168.52,2,9.25
ecommerce,45,desktop,A,6.71,6.37,2.2,2.36,181.73,2,8.31
ecommerce,46,mobile,A,7.82,8.27,2.93,3.22,102.41,4,7.79
ecommerce,47,mobile,B,8.73,7.53,2.31,2.78,153.33,2,7.64
ecommerce,48,desktop,B,9.37,8.4,3.18,3.0,137.18,5,7.63
