tema,cliente_id,dispositivo,campanha,tempo_antes_min,tempo_depois_min,conversao_antes_pct,conversao_depois_pct,ticket_medio,itens_carrinho,satisfacao
ecommerce,1,mobile,B,6.62,5.58,2.75,3.16,90.41,1,7.17
ecommerce,2,desktop,B,7.99,7.01,1.78,2.86,238.2,4,7.26
ecommerce,3,desktop,A,9.07,8.71,2.1,1.82,260.25,4,6.59
ecommerce,4,mobile,A,8.72,8.88,1.5,1.39,133.42,2,7.17
ecommerce,5,mobile,B,8.9,7.33,2.23,2.29,132.78,2,8.18
ecommerce,6,mobile,B,8.17,7.31,2.24,3.05,156.27,4,7.79
ecommerce,7,mobile,B,8.43,8.02,3.15,3.48,137.79,2,7.87
ecommerce,8,mobile,B,7.15,6.48,1.73,1.92,146.99,3,7.31
ecommerce,9,mobile,A,10.38,10.39,1.87,2.13,149.15,1,7.15
ecommerce,10,mobile,A,8.68,8.17,1.17,1.35,150.76,2,5.33
ecommerce,11,desktop,B,7.1,7.08,2.12,3.0,167.56,2,8.02
ecommerce,12,mobile,B,5.79,4.8,3.54,4.29,194.97,3,8.33
ecommerce,13,desktop,B,7.83,6.78,2.84,3.98,186.34,3,8.62
ecommerce,14,desktop,B,7.56,6.24,2.34,2.68,176.45,2,6.13
ecommerce,15,mobile,B,10.22,10.45,2.71,3.67,127.98,3,7.61
ecommerce,16,mobile,A,9.22,9.21,2.49,2.71,146.75,2,5.75
ecommerce,17,desktop,A,8.54,7.86,2.42,2.56,91.83,4,7.2
ecommerce,18,mobile,B,6.32,5.67,2.47,3.37,112.7,3,9.23
ecommerce,19,mobile,B,6.21,5.06,1.39,2.43,111.59,1,4.8
ecommerce,20,mobile,A,7.37,6.66,3.78,4.15,84.29,2,8.63
ecommerce,21,mobile,A,8.65,8.07,1.39,1.2,128.09,5,5.68
ecommerce,22,mobile,B,9.53,8.1,2.84,3.27,143.44,6,5.86
ecommerce,23,mobile,A,10.65,10.27,0.83,1.14,125.8,3,8.25
ecommerce,24,mobile,B,9.76,8.17,2.32,2.8,113.9,1,7.17
ecommerce,25,mobile,B,8.92,8.31,2.79,2.92,96.16,4,6.35
ecommerce,26,desktop,B,9.69,8.49,2.24,2.74,161.23,2,6.28
ecommerce,27,mobile,A,8.59,8.01,1.9,2.66,144.74,1,8.27
ecommerce,28,mobile,A,5.13,5.32,2.46,2.65,104.74,1,6.79
ecommerce,29,desktop,A,7.73,7.53,2.14,2.68,165.73,3,4.26
ecommerce,30,mobile,B,10.27,9.59,1.81,2.41,110.85,1,6.4
ecommerce,31,mobile,B,9.84,9.0,2.96,3.76,132.1,1,8.04
ecommerce,32,mobile,B,8.47,7.53,2.67,3.16,105.83,3,6.37
ecommerce,33,desktop,B,7.49,5.82,2.32,2.97,140.69,4,7.7
ecommerce,34,mobile,A,9.54,9.15,1.52,1.79,100.26,2,7.93
ecommerce,35,mobile,B,6.47,5.26,3.82,4.09,116.51,4,7.9
ecommerce,36,mobile,B,7.36,6.72,1.95,2.51,163.62,3,6.85
ecommerce,37,mobile,A,9.7,9.75,2.17,2.51,179.11,1,6.3
ecommerce,38,desktop,A,9.04,9.28,2.14,2.75,179.4,2,7.32
ecommerce,39,desktop,A,7.16,7.56,1.59,1.6,157.1,3,7.03
ecommerce,40,desktop,A,3.2,3.14,2.25,2.66,185.84,7,6.87
ecommerce,41,desktop,B,7.44,6.51,2.23,2.44,187.21,4,8.04
ecommerce,42,mobile,A,7.68,8.39,1.69,1.5,100.19,6,5.5
ecommerce,43,mobile,A,8.84,9.66,2.58,2.15,94.82,1,7.19
ecommerce,44,mobile,A,9.12,8.9,1.94,2.07,163.75,2,8.05
ecommerce,45,desktop,A,7.53,7.84,1.95,1.51,207.45,4,6.29
ecommerce,46,desktop,B,8.99,8.22,2.2,3.77,235.1,3,7.51
ecommerce,47,desktop,B,7.29,6.13,2.3,3.23,143.6,1,6.58
ecommerce,48,mobile,B,6.7,7.13,2.62,3.29,138.41,1,6.84
