tema,usuario_id,plano,interface,minutos_antes,minutos_depois,churn_pct,avaliacao,cliques_home,anuncios_vistos
streaming,1,premium,antiga,87.47,93.06,6.66,6.76,10,0
streaming,2,standard,antiga,42.28,36.07,6.13,5.55,9,3
streaming,3,standard,nova,56.3,68.0,12.86,7.8,11,1
streaming,4,standard,nova,58.9,75.25,9.21,6.83,20,2
streaming,5,standard,nova,49.07,52.66,9.5,7.09,13,1
streaming,6,standard,antiga,46.22,44.25,7.55,6.89,15,3
streaming,7,standard,nova,70.89,81.76,10.35,6.9,19,9
streaming,8,standard,antiga,76.93,83.14,7.67,7.16,10,4
streaming,9,standard,nova,69.05,92.4,8.18,9.79,15,2
streaming,10,standard,antiga,62.27,66.13,7.53,6.09,15,1
streaming,11,premium,nova,66.86,81.12,5.25,7.86,20,0
streaming,12,standard,nova,102.54,110.77,7.39,7.9,26,5
streaming,13,premium,antiga,61.06,55.67,5.48,6.12,14,2
streaming,14,premium,nova,99.96,110.43,2.04,8.6,16,1
streaming,15,premium,nova,70.97,69.71,6.79,7.97,19,2
streaming,16,premium,antiga,84.54,76.68,5.8,6.75,8,0
streaming,17,premium,antiga,69.11,70.27,3.93,6.7,14,5
streaming,18,standard,antiga,66.41,79.48,7.67,7.84,13,1
streaming,19,premium,nova,72.73,78.86,9.32,9.19,20,0
streaming,20,standard,nova,60.25,67.27,7.97,6.99,8,5
streaming,21,standard,antiga,45.71,47.76,10.65,7.23,11,4
streaming,22,standard,antiga,59.13,63.53,10.16,6.9,13,4
streaming,23,premium,antiga,69.29,75.72,4.56,5.77,9,0
streaming,24,premium,antiga,60.7,54.61,2.17,7.82,12,1
streaming,25,standard,nova,60.85,75.72,7.44,7.52,14,10
streaming,26,premium,antiga,75.78,84.45,9.09,7.29,3,1
streaming,27,standard,nova,63.74,74.97,7.54,8.99,14,4
streaming,28,premium,antiga,63.18,66.94,3.39,7.06,10,0
streaming,29,standard,antiga,47.87,56.97,6.66,6.76,8,3
streaming,30,standard,nova,57.69,77.04,9.76,9.42,21,4
streaming,31,standard,antiga,89.7,95.63,9.19,5.72,10,6
streaming,32,standard,antiga,84.32,96.63,8.44,5.24,13,5
streaming,33,standard,antiga,63.04,74.29,6.79,8.57,18,1
streaming,34,premium,antiga,98.07,84.84,4.79,6.14,17,0
streaming,35,premium,nova,68.09,77.48,5.13,8.18,10,1
streaming,36,premium,antiga,71.7,70.96,4.5,6.24,18,0
streaming,37,premium,antiga,63.39,65.68,4.88,7.23,14,2
streaming,38,standard,antiga,58.01,48.58,11.09,6.07,16,2
streaming,39,premium,nova,69.23,96.76,6.71,9.09,14,0
streaming,40,standard,nova,80.37,99.74,9.65,7.06,15,4
streaming,41,premium,nova,70.75,70.05,5.86,6.67,16,0
streaming,42,premium,nova,89.13,99.08,2.28,6.6,20,2
streaming,43,premium,nova,68.31,83.32,5.86,9.77,14,3
streaming,44,premium,antiga,73.84,62.27,6.72,6.9,11,2
streaming,45,premium,nova,88.79,92.48,4.18,7.94,16,1
streaming,46,premium,nova,70.49,81.62,5.99,8.17,19,3
streaming,47,standard,nova,68.43,73.08,9.07,8.13,20,2
streaming,48,premium,antiga,80.36,102.31,3.96,6.98,15,1
streaming,49,standard,antiga,65.36,63.92,9.59,7.07,10,3
streaming,50,standard,antiga,78.68,92.11,8.13,7.26,13,5
