tema,cliente_id,dispositivo,campanha,tempo_antes_min,tempo_depois_min,conversao_antes_pct,conversao_depois_pct,ticket_medio,itens_carrinho,satisfacao
ecommerce,1,mobile,B,9.6,9.06,1.94,2.37,148.85,5,8.46
ecommerce,2,desktop,B,7.56,7.23,1.88,2.11,169.82,2,8.77
ecommerce,3,desktop,B,6.46,4.79,2.87,3.05,190.56,2,8.24
ecommerce,4,mobile,A,10.06,10.1,1.33,1.75,157.95,3,6.15
ecommerce,5,desktop,B,9.77,8.61,2.77,3.24,177.45,1,8.1
ecommerce,6,desktop,A,8.39,8.35,2.32,2.45,145.61,2,7.59
ecommerce,7,mobile,B,6.53,5.89,2.9,3.79,98.34,1,8.01
ecommerce,8,mobile,B,7.02,5.66,2.69,3.27,144.78,2,8.19
ecommerce,9,desktop,B,7.74,6.69,3.01,3.51,208.97,2,7.01
ecommerce,10,desktop,A,8.24,7.84,2.92,3.45,193.84,3,6.88
ecommerce,11,mobile,B,6.92,6.28,3.11,3.83,73.77,4,8.56
ecommerce,12,desktop,A,7.96,8.12,2.25,2.41,228.03,4,7.13
ecommerce,13,mobile,B,6.92,6.03,2.38,3.24,133.46,2,7.49
ecommerce,14,mobile,B,8.56,7.81,3.62,4.53,135.67,4,8.44
ecommerce,15,mobile,A,7.49,6.79,0.95,1.47,166.54,3,5.84
ecommerce,16,desktop,B,7.52,5.84,1.81,1.87,158.38,5,7.55
ecommerce,17,desktop,B,6.44,6.39,4.19,4.97,231.63,1,6.87
ecommerce,18,mobile,B,9.06,8.69,3.08,4.23,80.11,2,8.23
ecommerce,19,mobile,A,9.1,9.45,2.62,2.49,63.24,1,6.18
ecommerce,20,desktop,B,5.07,4.71,1.11,1.08,200.75,4,6.37
ecommerce,21,mobile,A,5.82,5.3,2.59,2.91,91.53,1,4.82
ecommerce,22,desktop,B,7.09,7.58,1.85,2.28,198.2,3,7.82
ecommerce,23,mobile,A,9.37,9.97,1.9,2.17,142.55,1,6.78
ecommerce,24,mobile,B,9.09,8.95,3.22,3.8,127.03,2,8.64
ecommerce,25,desktop,B,6.68,6.35,2.2,2.47,168.69,7,7.75
ecommerce,26,mobile,B,8.2,7.98,2.3,3.53,162.73,1,9.14
ecommerce,27,desktop,B,9.26,8.42,3.31,3.87,158.55,1,8.39
ecommerce,28,desktop,B,7.69,6.39,1.95,2.54,201.51,5,7.64
ecommerce,29,mobile,B,7.57,6.31,2.45,3.11,108.81,3,6.06
ecommerce,30,mobile,A,8.39,8.2,2.37,2.35,90.59,1,8.4
ecommerce,31,mobile,A,6.71,6.71,1.98,2.09,118.5,3,8.96
ecommerce,32,mobile,A,8.61,8.34,1.93,2.17,137.08,1,7.24
ecommerce,33,mobile,B,10.16,9.7,2.86,3.42,113.24,3,8.68
ecommerce,34,mobile,A,9.69,8.88,2.57,2.89,138.94,4,7.38
ecommerce,35,mobile,B,9.02,7.83,2.56,3.32,182.0,4,6.69
ecommerce,36,desktop,B,7.03,6.29,1.88,2.58,224.37,1,6.47
ecommerce,37,mobile,A,6.42,5.32,1.68,1.99,132.13,2,7.27
ecommerce,38,desktop,B,7.39,5.86,2.51,2.93,105.37,1,7.64
ecommerce,39,desktop,B,6.21,5.22,2.62,3.16,178.07,3,9.29
ecommerce,40,desktop,B,5.69,5.6,2.37,3.08,178.76,6,8.39
ecommerce,41,desktop,B,10.69,10.56,4.19,5.3,171.81,5,8.27
ecommerce,42,mobile,B,10.91,9.96,1.35,1.8,148.68,5,7.06
ecommerce,43,mobile,B,8.73,7.61,1.63,2.95,146.32,5,7.58
ecommerce,44,mobile,B,5.67,4.52,2.62,3.09,147.84,2,7.71
ecommerce,45,mobile,B,8.06,6.76,2.16,2.03,140.67,1,7.33
ecommerce,46,desktop,B,9.03,8.48,2.92,3.7,156.26,3,7.2
ecommerce,47,mobile,B,8.18,7.5,2.58,3.62,140.15,2,7.66
ecommerce,48,mobile,A,8.28,7.64,2.48,2.85,164.85,5,6.39
