tema,rodada,time,tecnico,mandante,faltas,gols,finalizacoes,escanteios,cartoes_amarelos,posse_bola
futebol,1,Corinthians,Técnico A,Não,16,1,17,4,3,55.45
futebol,2,Corinthians,Técnico A,Sim,10,1,15,5,2,53.8
futebol,3,Corinthians,Técnico A,Não,13,1,12,4,3,42.47
futebol,4,Corinthians,Técnico A,Não,14,2,14,4,4,59.32
futebol,5,Corinthians,Técnico A,Não,16,0,15,7,3,40.46
futebol,6,Corinthians,Técnico A,Sim,17,1,15,7,5,46.99
futebol,7,Corinthians,Técnico A,Não,13,1,11,5,4,55.67
futebol,8,Corinthians,Técnico A,Não,13,3,15,6,4,46.09
futebol,9,Corinthians,Técnico A,Sim,16,0,11,4,4,50.79
futebol,10,Corinthians,Técnico A,Não,17,3,19,5,4,43.18
futebol,11,Corinthians,Técnico A,Não,12,2,17,7,5,42.01
futebol,12,Corinthians,Técnico A,Sim,10,1,12,4,3,52.56
futebol,13,Corinthians,Técnico A,Sim,15,1,17,6,4,51.7
futebol,14,Corinthians,Técnico A,Não,18,3,17,6,4,45.0
futebol,15,Corinthians,Técnico A,Sim,17,0,9,5,4,44.82
futebol,16,Corinthians,Técnico A,Sim,15,5,19,8,4,46.74
futebol,17,Corinthians,Técnico B,Sim,17,1,14,5,3,43.57
futebol,18,Corinthians,Técnico B,Não,17,0,10,5,4,44.25
futebol,19,Corinthians,Técnico B,Sim,13,0,11,6,4,51.03
futebol,20,Corinthians,Técnico B,Sim,13,1,16,4,3,44.68
futebol,21,Corinthians,Técnico B,Sim,17,1,15,6,4,40.79
futebol,22,Corinthians,Técnico B,Sim,13,0,7,3,3,54.7
futebol,23,Corinthians,Técnico B,Sim,18,2,14,7,3,51.37
futebol,24,Corinthians,Técnico B,Sim,11,2,16,7,5,59.76
futebol,25,Corinthians,Técnico B,Não,16,3,11,6,4,46.82
futebol,26,Corinthians,Técnico B,Não,16,1,12,5,4,44.5
futebol,27,Corinthians,Técnico B,Não,14,1,15,6,4,50.52
futebol,28,Corinthians,Técnico B,Não,15,2,13,5,3,48.74
futebol,29,Corinthians,Técnico B,Sim,15,4,12,4,3,44.73
futebol,30,Corinthians,Técnico B,Não,17,1,14,5,4,52.26
futebol,31,Corinthians,Técnico B,Não,12,1,12,6,4,52.36
futebol,32,Corinthians,Técnico B,Sim,15,1,15,6,3,50.28
futebol,1,Palmeiras,Técnico Único,Não,14,1,16,5,2,50.09
futebol,2,Palmeiras,Técnico Único,Sim,12,1,12,6,3,60.72
futebol,3,Palmeiras,Técnico Único,Sim,11,2,17,6,3,58.68
futebol,4,Palmeiras,Técnico Único,Sim,14,1,12,4,3,56.06
futebol,5,Palmeiras,Técnico Único,Não,11,3,10,8,3,48.63
futebol,6,Palmeiras,Técnico Único,Não,14,1,9,8,4,49.15
futebol,7,Palmeiras,Técnico Único,Não,14,2,16,7,3,53.73
futebol,8,Palmeiras,Técnico Único,Não,14,1,11,6,3,46.57
futebol,9,Palmeiras,Técnico Único,Sim,8,3,16,5,2,62.86
futebol,10,Palmeiras,Técnico Único,Não,12,2,16,5,2,44.03
futebol,11,Palmeiras,Técnico Único,Não,17,3,21,7,3,49.35
futebol,12,Palmeiras,Técnico Único,Sim,10,0,12,6,2,55.78
futebol,13,Palmeiras,Técnico Único,Sim,13,0,12,7,1,60.08
futebol,14,Palmeiras,Técnico Único,Não,13,1,14,8,4,58.22
futebol,15,Palmeiras,Técnico Único,Sim,12,2,12,8,2,58.5
futebol,16,Palmeiras,Técnico Único,Não,12,0,9,4,4,56.65
futebol,17,Palmeiras,Técnico Único,Não,10,2,13,5,3,55.91
futebol,18,Palmeiras,Técnico Único,Sim,13,3,20,6,2,60.39
futebol,19,Palmeiras,Técnico Único,Sim,9,0,16,6,2,56.26
futebol,20,Palmeiras,Técnico Único,Sim,13,4,19,8,3,67.26
futebol,21,Palmeiras,Técnico Único,Não,12,0,12,4,2,62.14
futebol,22,Palmeiras,Técnico Único,Sim,15,3,21,6,3,58.89
futebol,23,Palmeiras,Técnico Único,Não,12,0,12,4,3,53.35
futebol,24,Palmeiras,Técnico Único,Sim,14,0,10,6,3,56.94
futebol,25,Palmeiras,Técnico Único,Sim,10,2,17,4,3,57.72
futebol,26,Palmeiras,Técnico Único,Sim,14,2,16,6,3,58.09
futebol,27,Palmeiras,Técnico Único,Sim,15,0,16,7,3,62.76
futebol,28,Palmeiras,Técnico Único,Sim,15,1,14,5,4,59.94
futebol,29,Palmeiras,Técnico Único,Não,12,3,15,5,3,51.2
futebol,30,Palmeiras,Técnico Único,Não,13,2,16,3,4,58.21
futebol,31,Palmeiras,Técnico Único,Não,15,4,16,7,3,53.49
futebol,32,Palmeiras,Técnico Único,Sim,16,4,15,8,3,56.74
