tema,usuario_id,plano,interface,minutos_antes,minutos_depois,churn_pct,avaliacao,cliques_home,anuncios_vistos
streaming,1,premium,antiga,78.86,81.77,6.67,6.09,14,2
streaming,2,premium,nova,74.51,87.01,5.5,6.65,13,0
streaming,3,premium,nova,48.99,59.25,5.24,7.31,18,1
streaming,4,standard,nova,57.34,80.3,8.89,7.9,16,3
streaming,5,premium,antiga,88.12,97.86,6.73,7.07,6,0
streaming,6,premium,nova,109.01,118.57,6.53,8.25,19,1
streaming,7,standard,nova,75.26,87.03,7.15,7.57,15,3
streaming,8,standard,antiga,7.54,7.58,7.85,6.04,15,1
streaming,9,standard,nova,65.39,85.71,9.04,7.73,13,4
streaming,10,premium,nova,90.98,94.91,5.57,9.08,19,1
streaming,11,standard,antiga,48.83,43.63,8.72,7.24,10,1
streaming,12,premium,antiga,60.37,71.57,3.71,8.58,11,3
streaming,13,premium,nova,66.76,77.08,5.62,7.63,17,1
streaming,14,standard,antiga,80.84,80.86,6.26,7.47,14,1
streaming,15,standard,antiga,41.62,58.18,6.88,5.92,14,3
streaming,16,standard,antiga,64.17,71.61,8.27,6.56,18,5
streaming,17,premium,antiga,76.15,109.99,1.98,7.15,12,1
streaming,18,standard,antiga,63.86,67.66,7.38,6.84,13,1
streaming,19,premium,nova,61.08,78.08,3.74,7.36,6,1
streaming,20,standard,nova,46.52,58.54,8.61,7.13,15,2
streaming,21,premium,nova,88.95,113.75,7.43,7.15,26,0
streaming,22,premium,antiga,54.27,59.73,4.0,6.27,15,0
streaming,23,standard,antiga,88.59,99.41,7.68,6.44,12,1
streaming,24,premium,antiga,72.94,72.83,3.89,7.01,10,2
streaming,25,premium,nova,76.75,92.21,3.56,8.03,21,2
streaming,26,premium,antiga,68.31,70.1,4.7,6.54,8,1
streaming,27,premium,nova,89.47,108.08,2.8,6.3,19,0
streaming,28,standard,nova,63.94,79.52,7.03,7.86,14,3
streaming,29,premium,antiga,66.62,71.05,4.41,7.97,18,1
streaming,30,standard,antiga,37.38,28.51,7.05,7.62,17,2
streaming,31,premium,antiga,110.74,123.84,4.06,5.46,11,2
streaming,32,standard,antiga,47.16,52.95,10.52,6.46,18,2
streaming,33,premium,antiga,73.38,76.59,5.96,7.76,13,0
streaming,34,premium,antiga,87.81,87.92,6.02,6.72,7,2
streaming,35,premium,nova,74.61,92.45,5.4,7.24,18,1
streaming,36,premium,antiga,69.77,69.83,5.78,7.6,15,0
streaming,37,premium,nova,63.6,70.91,5.34,7.65,14,1
streaming,38,standard,antiga,59.9,73.28,4.57,7.49,15,2
streaming,39,premium,antiga,54.54,61.51,6.16,7.52,13,1
streaming,40,premium,nova,79.32,95.99,6.74,8.27,19,1
streaming,41,premium,nova,71.74,79.66,4.39,6.68,19,2
streaming,42,premium,antiga,74.93,78.47,4.92,7.62,6,2
streaming,43,standard,nova,61.61,72.09,9.89,9.64,18,4
streaming,44,premium,nova,67.67,82.76,8.59,8.87,15,1
streaming,45,premium,antiga,47.53,43.32,8.32,7.72,13,0
streaming,46,premium,antiga,63.41,62.49,3.51,6.01,13,0
streaming,47,standard,antiga,51.82,59.7,12.31,7.08,13,4
streaming,48,premium,antiga,72.92,66.37,2.41,7.66,18,2
streaming,49,standard,nova,65.93,74.09,8.07,8.0,20,0
streaming,50,standard,antiga,47.27,62.88,8.62,5.47,12,3
