tema,lote_id,maquina,turno,temperatura_antes,temperatura_depois,defeitos,espessura_mm,tempo_ciclo_s,vibracao
manufatura,1,M2,noite,84.6,80.79,5,1.784,32.12,3.7
manufatura,2,M1,dia,87.27,84.12,5,1.844,38.73,2.73
manufatura,3,M2,noite,87.4,85.27,6,1.885,54.45,4.17
manufatura,4,M2,dia,85.92,83.83,5,1.826,61.32,3.94
manufatura,5,M1,dia,79.5,79.12,6,1.703,30.35,3.81
manufatura,6,M2,dia,82.78,80.85,5,1.895,42.75,3.33
manufatura,7,M2,noite,90.13,85.08,3,1.801,40.84,3.85
manufatura,8,M1,dia,72.84,72.41,3,1.766,34.02,3.65
manufatura,9,M1,noite,83.77,79.81,2,1.778,47.15,2.67
manufatura,10,M2,dia,85.32,84.52,11,1.808,44.45,3.54
manufatura,11,M1,noite,88.6,84.44,4,1.752,55.3,3.17
manufatura,12,M2,dia,88.81,88.04,7,1.909,47.94,2.86
manufatura,13,M1,dia,81.17,78.94,5,1.792,39.25,2.33
manufatura,14,M1,noite,78.87,75.15,4,1.811,51.62,2.85
manufatura,15,M1,dia,87.26,86.49,1,1.848,48.67,3.65
manufatura,16,M1,dia,83.67,81.57,5,1.657,51.57,2.56
manufatura,17,M1,noite,81.83,76.84,8,1.825,44.47,2.36
manufatura,18,M1,dia,75.73,73.1,1,1.821,38.06,2.66
manufatura,19,M2,dia,89.24,86.67,9,2.035,46.36,4.37
manufatura,20,M2,dia,89.69,89.19,3,1.871,39.17,3.42
manufatura,21,M2,dia,90.68,89.9,5,1.665,40.85,4.71
manufatura,22,M1,noite,79.85,76.79,5,1.807,39.26,2.99
manufatura,23,M1,noite,89.21,85.78,2,1.868,46.46,3.11
manufatura,24,M1,noite,80.02,79.6,5,1.793,46.93,3.06
manufatura,25,M1,noite,84.6,81.89,1,1.882,41.25,3.08
manufatura,26,M2,noite,80.62,77.54,3,1.832,49.18,3.89
manufatura,27,M1,noite,84.79,80.9,5,1.895,45.43,3.77
manufatura,28,M2,dia,95.97,94.13,1,1.778,35.84,2.84
manufatura,29,M2,noite,88.69,84.87,5,1.805,50.09,4.45
manufatura,30,M2,dia,82.59,81.15,3,1.737,52.15,3.72
manufatura,31,M1,dia,75.95,75.55,4,1.909,44.08,3.51
manufatura,32,M1,dia,84.77,83.11,2,1.856,37.77,2.81
manufatura,33,M1,dia,87.02,85.38,6,1.94,47.04,2.89
manufatura,34,M2,noite,84.18,81.35,1,1.893,42.83,4.1
manufatura,35,M2,noite,87.5,83.67,6,1.732,50.88,3.45
manufatura,36,M1,noite,83.86,82.53,5,1.941,42.26,4.02
manufatura,37,M1,noite,85.28,80.04,2,1.96,40.21,3.28
manufatura,38,M2,noite,82.41,79.95,7,1.733,51.36,4.39
manufatura,39,M1,noite,89.45,85.87,7,1.92,46.15,3.34
manufatura,40,M2,dia,81.85,79.24,8,1.861,41.39,3.79
manufatura,41,M1,dia,80.14,79.33,5,1.916,40.25,2.57
manufatura,42,M1,dia,87.91,87.07,3,1.93,41.41,3.17
manufatura,43,M1,noite,80.78,77.2,4,1.796,50.87,3.89
manufatura,44,M2,dia,84.7,84.41,6,1.742,53.09,4.18
manufatura,45,M2,dia,86.82,84.8,2,1.868,44.59,3.23
manufatura,46,M1,dia,86.02,83.4,3,1.888,43.62,3.54
manufatura,47,M2,dia,91.13,90.15,2,1.868,49.07,3.34
manufatura,48,M1,noite,91.22,87.96,3,1.788,48.27,3.94
manufatura,49,M2,noite,86.9,83.44,5,1.964,40.99,4.1
manufatura,50,M2,noite,87.73,84.92,6,1.838,54.14,4.27
manufatura,51,M1,dia,87.58,86.25,7,1.788,48.51,3.41
manufatura,52,M2,noite,87.63,85.36,4,1.787,44.69,4.08
manufatura,53,M2,dia,88.03,87.49,6,1.888,38.25,3.27
manufatura,54,M2,noite,86.53,83.08,3,1.682,40.91,3.96
