tema,cliente_id,dispositivo,campanha,tempo_antes_min,tempo_depois_min,conversao_antes_pct,conversao_depois_pct,ticket_medio,itens_carrinho,satisfacao
ecommerce,1,mobile,B,10.14,9.3,1.37,2.07,163.43,4,8.13
ecommerce,2,desktop,A,6.08,5.26,1.89,1.97,136.61,7,7.57
ecommerce,3,mobile,B,6.19,5.17,3.67,4.36,152.98,5,8.11
ecommerce,4,mobile,B,9.64,9.62,2.99,3.77,139.34,3,8.52
ecommerce,5,desktop,B,6.66,6.68,2.16,2.54,178.91,4,4.95
ecommerce,6,mobile,B,8.82,6.81,1.43,2.67,144.95,2,6.19
ecommerce,7,desktop,B,6.87,6.06,2.19,3.19,126.36,4,6.74
ecommerce,8,mobile,A,9.42,9.06,1.99,2.19,132.15,4,5.7
ecommerce,9,desktop,A,7.72,7.2,2.95,3.24,209.63,2,5.49
ecommerce,10,desktop,A,8.27,8.4,2.48,2.68,221.88,5,7.11
ecommerce,11,mobile,B,8.44,7.47,1.49,2.19,129.57,4,7.22
ecommerce,12,mobile,A,7.18,6.71,0.24,0.55,102.41,3,8.37
ecommerce,13,mobile,B,5.89,4.76,2.91,3.3,157.82,2,6.17
ecommerce,14,mobile,B,9.27,8.86,3.27,3.7,120.38,2,8.09
ecommerce,15,desktop,B,5.78,4.19,2.95,2.99,187.92,2,7.8
ecommerce,16,mobile,B,7.56,7.02,1.65,1.84,153.57,6,8.26
ecommerce,17,desktop,B,5.22,4.8,1.85,2.45,211.3,3,8.24
ecommerce,18,mobile,A,9.34,9.7,2.08,2.82,104.64,1,8.4
ecommerce,19,desktop,A,6.13,5.36,2.25,3.04,163.51,2,7.2
ecommerce,20,desktop,A,8.18,7.85,1.74,1.77,153.6,7,7.38
ecommerce,21,mobile,B,6.58,5.7,1.93,2.32,173.82,2,5.22
ecommerce,22,mobile,A,8.88,9.02,1.57,2.22,181.95,1,6.31
ecommerce,23,mobile,B,9.73,8.86,3.0,3.22,104.21,3,7.05
ecommerce,24,mobile,A,7.08,6.78,2.77,2.8,162.65,4,7.63
ecommerce,25,mobile,B,9.13,8.35,2.96,3.29,98.6,4,7.08
ecommerce,26,mobile,A,6.95,6.59,3.07,2.66,150.45,3,5.71
ecommerce,27,desktop,A,7.76,7.92,2.49,3.11,202.5,2,5.93
ecommerce,28,mobile,B,5.57,5.03,2.4,2.75,147.22,3,6.64
ecommerce,29,mobile,A,6.38,6.41,3.32,3.03,148.2,2,6.32
ecommerce,30,mobile,A,6.89,6.56,1.73,2.2,138.69,4,7.77
ecommerce,31,mobile,B,6.93,6.42,2.28,2.13,137.4,1,6.14
ecommerce,32,mobile,B,9.29,9.43,2.86,3.34,124.11,1,5.63
ecommerce,33,mobile,A,8.01,7.61,2.4,2.76,105.16,4,6.81
ecommerce,34,desktop,B,8.0,7.7,2.32,3.1,184.88,3,7.49
ecommerce,35,desktop,A,8.06,7.44,2.22,2.11,240.68,3,6.78
ecommerce,36,mobile,A,10.32,9.98,2.67,2.89,136.54,1,6.3
ecommerce,37,desktop,A,9.65,9.86,2.13,3.11,199.53,2,7.4
ecommerce,38,desktop,A,6.2,6.04,1.88,1.94,132.21,4,7.86
ecommerce,39,mobile,B,9.34,8.87,3.61,4.24,197.19,1,5.73
ecommerce,40,mobile,B,9.52,8.72,2.13,2.48,138.55,1,7.94
ecommerce,41,desktop,B,6.45,5.5,2.1,2.59,184.71,4,8.1
ecommerce,42,mobile,A,9.17,8.52,1.96,1.94,68.35,1,6.35
ecommerce,43,mobile,A,8.1,7.18,3.04,2.91,95.7,4,8.57
ecommerce,44,mobile,A,8.66,8.97,2.51,2.27,177.63,1,7.5
ecommerce,45,mobile,B,6.83,6.32,2.91,3.23,110.38,2,6.33
ecommerce,46,desktop,B,7.13,5.85,1.78,2.88,144.53,2,9.48
ecommerce,47,mobile,A,8.15,7.76,1.58,1.8,128.78,1,7.21
ecommerce,48,mobile,A,9.3,9.43,1.93,1.79,111.39,6,6.03
