tema,cliente_id,dispositivo,campanha,tempo_antes_min,tempo_depois_min,conversao_antes_pct,conversao_depois_pct,ticket_medio,itens_carrinho,satisfacao
ecommerce,1,desktop,A,6.9,6.38,1.7,1.52,190.12,6,8.26
ecommerce,2,mobile,B,10.3,8.7,2.48,3.15,127.08,3,5.19
ecommerce,3,mobile,B,7.81,8.22,2.53,3.03,149.22,1,9.12
ecommerce,4,mobile,B,8.71,8.66,1.82,2.27,139.38,2,8.69
ecommerce,5,desktop,B,8.55,7.72,2.44,2.3,184.53,1,9.55
ecommerce,6,mobile,B,7.13,6.45,1.98,2.57,152.98,3,7.42
ecommerce,7,mobile,B,5.31,4.17,2.17,2.38,141.44,3,7.3
ecommerce,8,mobile,B,8.18,7.34,3.03,4.51,181.86,1,7.28
ecommerce,9,desktop,A,6.82,6.77,2.41,2.67,198.04,5,6.97
ecommerce,10,desktop,A,6.99,6.89,2.71,3.17,195.81,3,7.61
ecommerce,11,mobile,A,8.96,9.27,1.96,2.23,164.15,3,6.69
ecommerce,12,mobile,B,7.86,7.32,2.59,3.65,127.52,2,9.0
ecommerce,13,mobile,B,8.93,7.94,2.25,3.16,167.87,1,7.85
ecommerce,14,mobile,B,7.88,7.76,2.49,3.33,133.28,3,7.16
ecommerce,15,mobile,A,8.5,7.77,1.95,1.8,139.56,2,6.47
ecommerce,16,mobile,B,6.0,4.7,3.83,4.54,134.35,2,7.32
ecommerce,17,desktop,A,8.5,8.14,2.2,3.03,204.87,2,6.84
ecommerce,18,mobile,B,6.28,4.46,3.25,3.87,131.38,2,5.61
ecommerce,19,mobile,B,8.61,7.73,1.87,2.51,105.01,4,9.54
ecommerce,20,mobile,A,11.34,11.34,2.1,2.14,108.68,4,8.37
ecommerce,21,mobile,B,9.62,8.55,3.76,3.74,154.56,1,8.4
ecommerce,22,desktop,A,6.77,6.93,2.05,2.47,220.32,2,7.13
ecommerce,23,mobile,B,9.21,8.57,3.12,3.84,64.6,3,6.95
ecommerce,24,mobile,B,8.75,7.94,2.81,2.75,148.79,4,8.57
ecommerce,25,mobile,A,6.37,6.28,3.1,3.3,161.36,1,7.41
ecommerce,26,mobile,A,8.21,7.77,2.35,3.12,202.02,3,8.31
ecommerce,27,mobile,B,6.03,4.97,1.5,2.39,156.17,1,8.1
ecommerce,28,mobile,B,8.61,8.6,1.64,2.64,131.71,2,6.23
ecommerce,29,desktop,A,8.68,8.13,3.02,3.23,163.81,4,8.27
ecommerce,30,mobile,B,11.77,10.65,3.54,4.88,148.88,4,8.49
ecommerce,31,mobile,A,8.18,7.82,1.52,1.35,129.85,2,6.38
ecommerce,32,desktop,B,8.12,7.35,2.84,3.49,120.81,4,6.44
ecommerce,33,mobile,B,9.61,8.71,2.88,3.66,163.35,1,8.72
ecommerce,34,mobile,A,8.65,8.62,1.24,1.18,174.87,3,5.43
ecommerce,35,desktop,B,9.13,8.23,2.29,3.28,193.63,2,7.91
ecommerce,36,desktop,A,6.97,6.91,2.72,3.33,166.71,2,8.47
ecommerce,37,mobile,B,10.1,9.31,2.37,3.88,144.13,1,9.87
ecommerce,38,mobile,A,9.19,9.0,2.98,3.56,117.7,3,5.76
ecommerce,39,desktop,A,8.29,8.21,1.89,2.46,191.27,2,7.67
ecommerce,40,mobile,B,8.81,7.07,3.69,4.21,112.32,3,7.98
ecommerce,41,mobile,A,12.45,12.09,0.65,0.88,154.19,3,5.64
ecommerce,42,desktop,A,4.49,3.99,2.4,2.58,204.29,7,7.39
ecommerce,43,mobile,B,8.06,7.33,2.33,2.78,109.63,3,7.93
ecommerce,44,mobile,A,7.92,7.55,2.33,2.34,110.24,1,7.45
ecommerce,45,desktop,A,8.06,7.54,2.2,2.36,171.36,2,6.77
ecommerce,46,mobile,A,9.32,9.56,2.24,2.1,106.31,1,7.0
ecommerce,47,mobile,B,6.37,5.47,1.61,2.78,127.98,5,8.96
ecommerce,48,mobile,A,8.74,8.83,1.74,2.08,58.25,4,5.4
